arm,tag,seed,step,stable,violations,loss,cost_usd,epsilon,sigma,bond_length_nm,bond_k,angle_deg,angle_k
BO in LLM-elicited bounds,gp_llm_box,0,1,True,,3.9886785905354287,0.065995,4.167801,0.382869,0.335795,3526.48039,134.296003,55.360079
BO in LLM-elicited bounds,gp_llm_box,0,2,True,,1.561757098099907,0.044857,3.649493,0.379339,0.297998,2117.632868,145.984332,50.426597
BO in LLM-elicited bounds,gp_llm_box,0,3,True,,4.255002497573722,0.043666,2.131579,0.38571,0.297361,3382.823331,128.626261,86.282351
BO in LLM-elicited bounds,gp_llm_box,0,4,True,,1.0687199744994111,0.042607,4.91377,0.30165,0.29736,1477.630264,140.5305,37.737787
BO in LLM-elicited bounds,gp_llm_box,0,5,True,,1.0252488060141587,0.044739,2.500446,0.332514,0.34026,2294.844969,133.71849,109.746601
BO in LLM-elicited bounds,gp_llm_box,0,6,True,,0.6770853077758238,0.044934,2.269093,0.329397,0.325069,2784.275073,117.877598,19.03467
BO in LLM-elicited bounds,gp_llm_box,0,7,True,,2.061048527683351,0.043184,4.357765,0.399483,0.308185,2184.542624,126.108363,80.468561
BO in LLM-elicited bounds,gp_llm_box,0,8,False,blowup,,0.002337,5.002555,0.394453,0.316253,942.07207,134.256535,85.734261
BO in LLM-elicited bounds,gp_llm_box,0,9,True,,0.638843058432343,0.046024,1.750716,0.339628,0.251999,2269.303856,153.87727,52.741669
BO in LLM-elicited bounds,gp_llm_box,0,10,False,blowup,,0.002373,5.63206,0.31385,0.306519,3581.81794,127.993293,111.25591
BO in LLM-elicited bounds,gp_llm_box,0,11,False,blowup,,0.027177,2.472129,0.349227,0.25,1311.459457,155.0,15.0
BO in LLM-elicited bounds,gp_llm_box,0,12,True,,2.1620971226627144,0.044973,6.0,0.29,0.25,4000.0,155.0,15.0
BO in LLM-elicited bounds,gp_llm_box,0,13,False,blowup,,0.013894,1.5,0.29,0.25,2467.852757,155.0,120.0
BO in LLM-elicited bounds,gp_llm_box,0,14,True,,0.6569672834887333,0.045534,1.827398,0.339388,0.25,2228.195395,155.0,37.29651
BO in LLM-elicited bounds,gp_llm_box,0,15,True,,2.933216555206904,0.042334,6.0,0.371571,0.25,900.0,148.503436,15.0
BO in LLM-elicited bounds,gp_llm_box,0,16,True,,0.7886964784857132,0.045294,1.600615,0.340257,0.250107,2325.234739,153.030377,70.102607
BO in LLM-elicited bounds,gp_llm_box,0,17,False,blowup,,0.017551,2.620502,0.309621,0.298074,2630.469841,125.804395,15.0
BO in LLM-elicited bounds,gp_llm_box,0,18,True,,0.5657616853067502,0.045402,1.897628,0.33358,0.266463,2255.201989,149.972104,40.541878
