x,y,loss,violations
0.28,1.0,1.157829,
0.28,1.368421,0.97133,
0.28,1.736842,0.817092,
0.28,2.105263,0.797299,
0.28,2.473684,0.602965,
0.28,2.842105,0.505583,
0.28,3.210526,0.427839,
0.28,3.578947,0.335759,
0.28,3.947368,0.433967,
0.28,4.315789,0.521849,
0.28,4.684211,0.577825,
0.28,5.052632,0.733747,
0.28,5.421053,0.877762,
0.28,5.789474,,blowup
0.28,6.157895,,blowup
0.28,6.526316,,blowup
0.28,6.894737,,blowup
0.28,7.263158,,blowup
0.28,7.631579,,blowup
0.28,8.0,,blowup
0.288947,1.0,1.118381,
0.288947,1.368421,0.914042,
0.288947,1.736842,0.710195,
0.288947,2.105263,0.713417,
0.288947,2.473684,0.633014,
0.288947,2.842105,0.496233,
0.288947,3.210526,0.53308,
0.288947,3.578947,0.444608,
0.288947,3.947368,0.461376,
0.288947,4.315789,0.54839,
0.288947,4.684211,0.821058,
0.288947,5.052632,0.920023,
0.288947,5.421053,1.07413,
0.288947,5.789474,1.193339,
0.288947,6.157895,1.270336,
0.288947,6.526316,1.705941,
0.288947,6.894737,,blowup
0.288947,7.263158,,blowup
0.288947,7.631579,,blowup
0.288947,8.0,,blowup
0.297895,1.0,1.19114,
0.297895,1.368421,0.731498,
0.297895,1.736842,0.504034,
0.297895,2.105263,0.65515,
0.297895,2.473684,0.642051,
0.297895,2.842105,0.593731,
0.297895,3.210526,0.498143,
0.297895,3.578947,0.532538,
0.297895,3.947368,0.56003,
0.297895,4.315789,0.723011,
0.297895,4.684211,0.87227,
0.297895,5.052632,0.912624,
0.297895,5.421053,1.182591,
0.297895,5.789474,1.375457,
0.297895,6.157895,1.654278,
0.297895,6.526316,1.426918,
0.297895,6.894737,1.896962,
0.297895,7.263158,1.966946,
0.297895,7.631579,,blowup
0.297895,8.0,,blowup
0.306842,1.0,1.050036,
0.306842,1.368421,0.754152,
0.306842,1.736842,0.478599,
0.306842,2.105263,0.556055,
0.306842,2.473684,0.614757,
0.306842,2.842105,0.720306,
0.306842,3.210526,0.555372,
0.306842,3.578947,0.577049,
0.306842,3.947368,0.616281,
0.306842,4.315789,0.752415,
0.306842,4.684211,0.820025,
0.306842,5.052632,1.000617,
0.306842,5.421053,1.361919,
0.306842,5.789474,1.601857,
0.306842,6.157895,1.702905,
0.306842,6.526316,1.909472,
0.306842,6.894737,2.073053,
0.306842,7.263158,,blowup
0.306842,7.631579,,blowup
0.306842,8.0,,blowup
0.315789,1.0,1.202985,
0.315789,1.368421,0.835315,
0.315789,1.736842,0.590395,
0.315789,2.105263,0.283934,
0.315789,2.473684,0.452192,
0.315789,2.842105,0.624823,
0.315789,3.210526,0.756656,
0.315789,3.578947,0.688227,
0.315789,3.947368,0.779825,
0.315789,4.315789,0.976035,
0.315789,4.684211,1.063407,
0.315789,5.052632,1.184249,
0.315789,5.421053,1.466981,
0.315789,5.789474,1.606754,
0.315789,6.157895,1.974589,
0.315789,6.526316,2.09451,
0.315789,6.894737,2.193218,
0.315789,7.263158,,blowup
0.315789,7.631579,,blowup
0.315789,8.0,,blowup
0.324737,1.0,1.218852,
0.324737,1.368421,0.903125,
0.324737,1.736842,0.674078,
0.324737,2.105263,0.345567,
0.324737,2.473684,0.208922,
0.324737,2.842105,0.365256,
0.324737,3.210526,0.634106,
0.324737,3.578947,0.893007,
0.324737,3.947368,1.180406,
0.324737,4.315789,1.130769,
0.324737,4.684211,1.249611,
0.324737,5.052632,1.328757,
0.324737,5.421053,1.638557,
0.324737,5.789474,1.660292,
0.324737,6.157895,1.938197,
0.324737,6.526316,2.033918,
0.324737,6.894737,,blowup
0.324737,7.263158,,blowup
0.324737,7.631579,,blowup
0.324737,8.0,,blowup
0.333684,1.0,1.304378,
0.333684,1.368421,1.053768,
0.333684,1.736842,0.786175,
0.333684,2.105263,0.553678,
0.333684,2.473684,0.220475,
0.333684,2.842105,0.069343,
0.333684,3.210526,0.378978,
0.333684,3.578947,0.670334,
0.333684,3.947368,0.999889,
0.333684,4.315789,1.317894,
0.333684,4.684211,1.559119,
0.333684,5.052632,1.921122,
0.333684,5.421053,1.757115,
0.333684,5.789474,2.083939,
0.333684,6.157895,2.141766,
0.333684,6.526316,2.286529,
0.333684,6.894737,2.639057,
0.333684,7.263158,,blowup
0.333684,7.631579,,blowup
0.333684,8.0,,blowup
0.342632,1.0,1.527119,
0.342632,1.368421,1.263525,
0.342632,1.736842,1.053351,
0.342632,2.105263,0.805322,
0.342632,2.473684,0.54616,
0.342632,2.842105,0.363744,
0.342632,3.210526,0.174562,
0.342632,3.578947,0.377139,
0.342632,3.947368,0.693636,
0.342632,4.315789,0.990973,
0.342632,4.684211,1.296862,
0.342632,5.052632,1.635206,
0.342632,5.421053,1.865086,
0.342632,5.789474,2.254763,
0.342632,6.157895,2.563792,
0.342632,6.526316,2.745901,
0.342632,6.894737,2.908355,
0.342632,7.263158,3.209587,
0.342632,7.631579,,blowup
0.342632,8.0,,blowup
0.351579,1.0,1.794762,
0.351579,1.368421,1.62171,
0.351579,1.736842,1.457597,
0.351579,2.105263,1.300051,
0.351579,2.473684,1.052041,
0.351579,2.842105,0.867183,
0.351579,3.210526,0.680024,
0.351579,3.578947,0.486476,
0.351579,3.947368,0.299924,
0.351579,4.315789,0.727526,
0.351579,4.684211,1.146912,
0.351579,5.052632,1.705741,
0.351579,5.421053,2.159594,
0.351579,5.789474,2.488471,
0.351579,6.157895,2.982792,
0.351579,6.526316,2.917439,
0.351579,6.894737,3.306532,
0.351579,7.263158,,blowup
0.351579,7.631579,,blowup
0.351579,8.0,,blowup
0.360526,1.0,2.208998,
0.360526,1.368421,2.143407,
0.360526,1.736842,2.001345,
0.360526,2.105263,1.809507,
0.360526,2.473684,1.55559,
0.360526,2.842105,1.436621,
0.360526,3.210526,1.278802,
0.360526,3.578947,1.058191,
0.360526,3.947368,0.797954,
0.360526,4.315789,0.599303,
0.360526,4.684211,1.457612,
0.360526,5.052632,1.6003,
0.360526,5.421053,1.927034,
0.360526,5.789474,2.780731,
0.360526,6.157895,3.448661,
0.360526,6.526316,3.726743,
0.360526,6.894737,3.527983,
0.360526,7.263158,,blowup
0.360526,7.631579,,blowup
0.360526,8.0,,blowup
0.369474,1.0,2.737285,
0.369474,1.368421,2.669727,
0.369474,1.736842,2.554071,
0.369474,2.105263,2.386238,
0.369474,2.473684,2.145919,
0.369474,2.842105,2.029388,
0.369474,3.210526,1.758288,
0.369474,3.578947,1.473946,
0.369474,3.947368,1.244041,
0.369474,4.315789,0.907229,
0.369474,4.684211,1.128383,
0.369474,5.052632,1.730765,
0.369474,5.421053,2.131579,
0.369474,5.789474,2.935099,
0.369474,6.157895,3.11981,
0.369474,6.526316,3.73048,
0.369474,6.894737,4.462378,
0.369474,7.263158,4.839833,
0.369474,7.631579,,blowup
0.369474,8.0,,blowup
0.378421,1.0,3.28485,
0.378421,1.368421,3.29,
0.378421,1.736842,3.186763,
0.378421,2.105263,3.014809,
0.378421,2.473684,2.702204,
0.378421,2.842105,2.471696,
0.378421,3.210526,2.238259,
0.378421,3.578947,1.922916,
0.378421,3.947368,1.634531,
0.378421,4.315789,1.240399,
0.378421,4.684211,1.319143,
0.378421,5.052632,1.727261,
0.378421,5.421053,2.410723,
0.378421,5.789474,2.985527,
0.378421,6.157895,3.704848,
0.378421,6.526316,3.931811,
0.378421,6.894737,4.462438,
0.378421,7.263158,,blowup
0.378421,7.631579,,blowup
0.378421,8.0,,blowup
0.387368,1.0,3.915288,
0.387368,1.368421,3.912315,
0.387368,1.736842,3.797113,
0.387368,2.105263,3.561496,
0.387368,2.473684,3.18729,
0.387368,2.842105,2.892805,
0.387368,3.210526,2.57774,
0.387368,3.578947,2.237703,
0.387368,3.947368,1.753703,
0.387368,4.315789,1.512837,
0.387368,4.684211,1.25012,
0.387368,5.052632,2.106388,
0.387368,5.421053,2.547446,
0.387368,5.789474,3.203707,
0.387368,6.157895,3.795151,
0.387368,6.526316,4.236986,
0.387368,6.894737,5.110006,
0.387368,7.263158,5.46723,
0.387368,7.631579,5.542553,
0.387368,8.0,,blowup
0.396316,1.0,4.532169,
0.396316,1.368421,4.488386,
0.396316,1.736842,4.316144,
0.396316,2.105263,4.006398,
0.396316,2.473684,3.608276,
0.396316,2.842105,3.183055,
0.396316,3.210526,2.795487,
0.396316,3.578947,2.515161,
0.396316,3.947368,2.086406,
0.396316,4.315789,1.64041,
0.396316,4.684211,1.831639,
0.396316,5.052632,2.364508,
0.396316,5.421053,2.905412,
0.396316,5.789474,3.437186,
0.396316,6.157895,4.259835,
0.396316,6.526316,4.500412,
0.396316,6.894737,5.345074,
0.396316,7.263158,,blowup
0.396316,7.631579,,blowup
0.396316,8.0,,blowup
0.405263,1.0,5.137387,
0.405263,1.368421,5.050353,
0.405263,1.736842,4.778919,
0.405263,2.105263,4.355339,
0.405263,2.473684,3.98182,
0.405263,2.842105,3.405133,
0.405263,3.210526,3.100696,
0.405263,3.578947,2.666588,
0.405263,3.947368,2.261631,
0.405263,4.315789,1.881648,
0.405263,4.684211,2.034159,
0.405263,5.052632,2.586207,
0.405263,5.421053,3.478108,
0.405263,5.789474,3.921996,
0.405263,6.157895,4.534328,
0.405263,6.526316,5.063701,
0.405263,6.894737,,blowup
0.405263,7.263158,,blowup
0.405263,7.631579,,blowup
0.405263,8.0,,blowup
0.414211,1.0,5.682236,
0.414211,1.368421,5.531637,
0.414211,1.736842,5.151789,
0.414211,2.105263,4.684601,
0.414211,2.473684,4.210011,
0.414211,2.842105,3.795221,
0.414211,3.210526,3.321782,
0.414211,3.578947,2.997558,
0.414211,3.947368,2.526799,
0.414211,4.315789,2.090996,
0.414211,4.684211,2.053206,
0.414211,5.052632,2.710402,
0.414211,5.421053,3.564731,
0.414211,5.789474,4.05766,
0.414211,6.157895,4.387943,
0.414211,6.526316,,blowup
0.414211,6.894737,,blowup
0.414211,7.263158,6.46267,
0.414211,7.631579,,blowup
0.414211,8.0,,blowup
0.423158,1.0,6.191729,
0.423158,1.368421,5.957865,
0.423158,1.736842,5.664228,
0.423158,2.105263,5.10405,
0.423158,2.473684,4.561788,
0.423158,2.842105,4.068425,
0.423158,3.210526,3.733386,
0.423158,3.578947,3.219756,
0.423158,3.947368,2.760001,
0.423158,4.315789,2.32205,
0.423158,4.684211,2.121835,
0.423158,5.052632,2.891816,
0.423158,5.421053,3.347335,
0.423158,5.789474,4.2753,
0.423158,6.157895,4.658223,
0.423158,6.526316,5.530933,
0.423158,6.894737,,blowup
0.423158,7.263158,,blowup
0.423158,7.631579,,blowup
0.423158,8.0,,blowup
0.432105,1.0,6.673542,
0.432105,1.368421,6.463771,
0.432105,1.736842,6.019659,
0.432105,2.105263,5.593086,
0.432105,2.473684,5.017188,
0.432105,2.842105,4.621953,
0.432105,3.210526,4.143563,
0.432105,3.578947,3.725378,
0.432105,3.947368,3.143445,
0.432105,4.315789,2.891236,
0.432105,4.684211,2.177035,
0.432105,5.052632,2.696792,
0.432105,5.421053,,blowup
0.432105,5.789474,,blowup
0.432105,6.157895,,blowup
0.432105,6.526316,,blowup
0.432105,6.894737,,blowup
0.432105,7.263158,,blowup
0.432105,7.631579,,blowup
0.432105,8.0,,blowup
0.441053,1.0,7.155951,
0.441053,1.368421,6.855026,
0.441053,1.736842,6.572955,
0.441053,2.105263,6.189548,
0.441053,2.473684,5.767063,
0.441053,2.842105,5.298322,
0.441053,3.210526,4.918014,
0.441053,3.578947,4.383453,
0.441053,3.947368,3.756707,
0.441053,4.315789,,blowup
0.441053,4.684211,,blowup
0.441053,5.052632,,blowup
0.441053,5.421053,,blowup
0.441053,5.789474,,blowup
0.441053,6.157895,,blowup
0.441053,6.526316,,blowup
0.441053,6.894737,,blowup
0.441053,7.263158,,blowup
0.441053,7.631579,,blowup
0.441053,8.0,,blowup
0.45,1.0,7.842942,
0.45,1.368421,7.632114,
0.45,1.736842,7.254035,
0.45,2.105263,,blowup
0.45,2.473684,6.67311,
0.45,2.842105,6.075476,
0.45,3.210526,5.55329,
0.45,3.578947,4.992182,
0.45,3.947368,,blowup
0.45,4.315789,,blowup
0.45,4.684211,,blowup
0.45,5.052632,,blowup
0.45,5.421053,,blowup
0.45,5.789474,,blowup
0.45,6.157895,,blowup
0.45,6.526316,,blowup
0.45,6.894737,,blowup
0.45,7.263158,,blowup
0.45,7.631579,,blowup
0.45,8.0,,blowup
