epsilon,sigma,cpu_loss,gpu_loss
0.5,0.3,0.959039,1.004091
0.5,0.30632,0.949013,1.03733
0.5,0.31263,1.053672,0.864417
0.5,0.31895,0.959721,1.00371
0.5,0.32526,0.893266,0.879769
0.5,0.33158,1.014685,0.957275
0.5,0.33789,1.010454,1.048949
0.5,0.34421,1.183785,1.093814
0.5,0.35053,1.305964,1.380483
0.5,0.35684,1.611541,1.647664
0.5,0.36316,1.659654,1.629379
0.5,0.36947,1.997042,1.98208
0.5,0.37579,2.516998,2.505948
0.5,0.38211,3.222475,3.234511
0.5,0.38842,4.169834,4.171662
0.5,0.39474,5.387722,5.384799
0.5,0.40105,6.91871,6.90187
0.5,0.40737,8.825741,8.818204
0.5,0.41368,11.184408,11.192879
0.5,0.42,14.092197,14.086735
0.57895,0.3,1.069903,1.131408
0.57895,0.30632,1.014724,0.823544
0.57895,0.31263,0.858351,0.79581
0.57895,0.31895,0.78181,0.877623
0.57895,0.32526,0.716525,0.7092
0.57895,0.33158,0.818309,0.807446
0.57895,0.33789,0.848202,0.849916
0.57895,0.34421,0.982995,1.005071
0.57895,0.35053,1.157406,1.263939
0.57895,0.35684,1.521263,1.379141
0.57895,0.36316,1.484808,1.512664
0.57895,0.36947,1.911373,1.943404
0.57895,0.37579,2.539595,2.551335
0.57895,0.38211,3.384963,3.370309
0.57895,0.38842,4.449115,4.467142
0.57895,0.39474,5.861634,5.856093
0.57895,0.40105,7.626061,7.622126
0.57895,0.40737,9.843161,9.846169
0.57895,0.41368,12.578785,12.586301
0.57895,0.42,15.943081,15.946898
0.65789,0.3,1.175573,1.110388
0.65789,0.30632,0.965189,0.984977
0.65789,0.31263,0.755521,0.784705
0.65789,0.31895,0.694239,0.614908
0.65789,0.32526,0.635101,0.551306
0.65789,0.33158,0.526868,0.63841
0.65789,0.33789,0.671724,0.684724
0.65789,0.34421,0.837923,0.912939
0.65789,0.35053,1.147686,1.077947
0.65789,0.35684,1.066537,1.028352
0.65789,0.36316,1.350807,1.362842
0.65789,0.36947,1.852287,1.83676
0.65789,0.37579,2.561091,2.548995
0.65789,0.38211,3.506639,3.484672
0.65789,0.38842,4.741673,4.730671
0.65789,0.39474,6.332005,6.342502
0.65789,0.40105,8.337507,8.340976
0.65789,0.40737,10.854048,10.848369
0.65789,0.41368,13.968939,13.978389
