arm,seed,step,loss,best_so_far,cumulative_cost,stable,violations
llm_only,0,1,0.3192060149182568,0.3192060149182568,58.05,True,
llm_only,0,2,0.47346555621640407,0.3192060149182568,129.3,True,
llm_only,0,3,0.24431383717207264,0.24431383717207264,177.14,True,
llm_only,0,4,0.3476215042989845,0.24431383717207264,216.94,True,
llm_only,0,5,0.2724552093852432,0.24431383717207264,261.38,True,
llm_only,0,6,0.29966472063241156,0.24431383717207264,305.37,True,
llm_only,0,7,0.25164953756821246,0.24431383717207264,381.33,True,
llm_only,0,8,0.2577926374835465,0.24431383717207264,432.24,True,
llm_only,0,9,0.2659135777046958,0.24431383717207264,480.08,True,
llm_only,0,10,0.2337156350739262,0.2337156350739262,535.52,True,
llm_only,0,11,0.18965830999580613,0.18965830999580613,596.74,True,
llm_only,0,12,0.19717824931127811,0.18965830999580613,663.65,True,
llm_only,0,13,0.1600139362127888,0.1600139362127888,723.91,True,
llm_only,0,14,0.17619852759433963,0.1600139362127888,781.11,True,
llm_only,0,15,0.1713655555378145,0.1600139362127888,840.27,True,
llm_only,0,16,0.16818562195659198,0.1600139362127888,902.13,True,
llm_only,0,17,0.15989139167339161,0.15989139167339161,961.6,True,
llm_only,0,18,0.16037139167339162,0.15989139167339161,1021.07,True,
llm_only,0,19,0.17357287235810598,0.15989139167339161,1080.54,True,
llm_only,0,20,0.15580529620287978,0.15580529620287978,1126.35,True,
llm_only,0,21,0.1562292893847949,0.15580529620287978,1166.21,True,
llm_only,0,22,0.1561854870119152,0.15580529620287978,1212.62,True,
llm_only,0,23,0.1613669947523564,0.15580529620287978,1257.82,True,
llm_only,0,24,0.1549531201239348,0.1549531201239348,1292.35,True,
llm_only,0,25,0.15880999160483544,0.1549531201239348,1322.06,True,
llm_only,0,26,0.15325717839717984,0.15325717839717984,1359.67,True,
llm_only,0,27,0.15429542332040597,0.15325717839717984,1399.39,True,
llm_only,0,28,0.15356808538961123,0.15325717839717984,1436.95,True,
llm_only,0,29,0.1546139841682633,0.15325717839717984,1472.42,True,
llm_only,0,30,0.15368640529460298,0.15325717839717984,1511.19,True,
llm_only,0,31,0.15329650771525902,0.15325717839717984,1549.36,True,
llm_only,0,32,0.15391543230130741,0.15325717839717984,1588.56,True,
llm_only,0,33,0.15333531492795488,0.15325717839717984,1626.17,True,
llm_only,0,34,0.15324930862779473,0.15324930862779473,1664.0,True,
llm_only,0,35,0.15404435147642065,0.15324930862779473,1700.53,True,
llm_only,1,1,0.22637389745404765,0.22637389745404765,58.97,True,
llm_only,1,2,0.3536959827941608,0.22637389745404765,136.36,True,
llm_only,1,3,0.2129256749175593,0.2129256749175593,194.67,True,
llm_only,1,4,0.3386306991623424,0.2129256749175593,252.16,True,
llm_only,1,5,0.2978831719513281,0.2129256749175593,300.59,True,
llm_only,1,6,0.1800669333378559,0.1800669333378559,367.29,True,
llm_only,1,7,0.25393517553409617,0.1800669333378559,443.74,True,
llm_only,1,8,0.16619017901688288,0.16619017901688288,506.3,True,
llm_only,1,9,0.17336988245187038,0.16619017901688288,609.57,True,
llm_only,1,10,0.18519927028783525,0.16619017901688288,672.13,True,
llm_only,1,11,0.17769879539429334,0.16619017901688288,732.75,True,
llm_only,1,12,0.17666036597756626,0.16619017901688288,793.77,True,
llm_only,1,13,0.17216610058963483,0.16619017901688288,857.55,True,
llm_only,1,14,0.16647085112391002,0.16619017901688288,923.16,True,
llm_only,1,15,0.17377322638066353,0.16619017901688288,995.13,True,
llm_only,1,16,0.16942943531555696,0.16619017901688288,1056.88,True,
llm_only,1,17,0.16697413687856708,0.16619017901688288,1120.96,True,
llm_only,1,18,0.16536730505439898,0.16536730505439898,1186.34,True,
llm_only,1,19,0.1675325821108628,0.16536730505439898,1253.29,True,
llm_only,1,20,0.16543550712725347,0.16536730505439898,1319.34,True,
llm_only,1,21,0.16790862267066933,0.16536730505439898,1384.31,True,
llm_only,1,22,0.16694954626911956,0.16536730505439898,1453.49,True,
llm_only,1,23,0.1652849039542566,0.1652849039542566,1519.62,True,
llm_only,1,24,0.1639857811087323,0.1639857811087323,1583.92,True,
llm_only,1,25,0.16287499731192728,0.16287499731192728,1647.02,True,
llm_only,1,26,0.16081338582711066,0.16081338582711066,1708.77,True,
llm_only,1,27,0.16034855584732607,0.16034855584732607,1769.08,True,
llm_only,1,28,0.16448534792316177,0.16034855584732607,1828.8,True,
llm_only,1,29,0.15950484825268033,0.15950484825268033,1889.24,True,
llm_only,1,30,0.16223051777182862,0.15950484825268033,1949.28,True,
llm_only,1,31,0.1600323662767816,0.15950484825268033,2009.88,True,
llm_only,1,32,0.15959350552833046,0.15950484825268033,2070.4,True,
llm_only,1,33,0.15735559550791883,0.15735559550791883,2124.48,True,
llm_only,1,34,0.15755204387542276,0.15735559550791883,2169.89,True,
llm_only,1,35,0.1592946999922283,0.15735559550791883,2212.7,True,
llm_only,2,1,0.2660671470963136,0.2660671470963136,47.74,True,
llm_only,2,2,0.446510280456326,0.2660671470963136,110.65,True,
llm_only,2,3,0.3311187390374699,0.2660671470963136,157.43,True,
llm_only,2,4,0.2978919589851573,0.2660671470963136,194.8,True,
llm_only,2,5,0.26758641182062476,0.2660671470963136,250.8,True,
llm_only,2,6,0.256589538389433,0.256589538389433,301.63,True,
llm_only,2,7,0.2642456687901913,0.256589538389433,385.54,True,
llm_only,2,8,0.35695951624391287,0.256589538389433,447.77,True,
llm_only,2,9,0.24596213641402392,0.24596213641402392,479.47,True,
llm_only,2,10,0.248855832018249,0.24596213641402392,506.45,True,
llm_only,2,11,0.24682613641402393,0.24596213641402392,538.15,True,
llm_only,2,12,0.28205080675975513,0.24596213641402392,569.24,True,
llm_only,2,13,0.2521181535336351,0.24596213641402392,597.96,True,
llm_only,2,14,0.30596294464493207,0.24596213641402392,624.55,True,
llm_only,2,15,0.2642745252324455,0.24596213641402392,657.38,True,
llm_only,2,16,0.24315349810371242,0.24315349810371242,685.82,True,
llm_only,2,17,0.21908073743447343,0.21908073743447343,712.61,True,
llm_only,2,18,0.23058002004194755,0.21908073743447343,737.87,True,
llm_only,2,19,0.23828336217095802,0.21908073743447343,761.73,True,
llm_only,2,20,0.2181530001362498,0.2181530001362498,787.5,True,
llm_only,2,21,0.21808411518602625,0.21808411518602625,812.57,True,
llm_only,2,22,0.21336418347371097,0.21336418347371097,838.11,True,
llm_only,2,23,0.21632903719230662,0.21336418347371097,863.79,True,
llm_only,2,24,0.23408740138304385,0.21336418347371097,888.96,True,
llm_only,2,25,0.21712292103372594,0.21336418347371097,914.33,True,
llm_only,2,26,0.21403702722022783,0.21336418347371097,939.96,True,
llm_only,2,27,0.20983748954307735,0.20983748954307735,966.17,True,
llm_only,2,28,0.20835283144212963,0.20835283144212963,992.81,True,
llm_only,2,29,0.20906265842260602,0.20835283144212963,1020.07,True,
llm_only,2,30,0.21452136963191387,0.20835283144212963,1048.04,True,
llm_only,2,31,0.21214773775627327,0.20835283144212963,1074.87,True,
llm_only,2,32,0.20898851416551423,0.20835283144212963,1101.33,True,
llm_only,2,33,0.20958971420031036,0.20835283144212963,1127.88,True,
llm_only,2,34,0.2208813785488013,0.20835283144212963,1154.43,True,
llm_only,2,35,0.2072384831218852,0.2072384831218852,1181.33,True,
llm_only,3,1,0.20084269103361907,0.20084269103361907,57.8,True,
llm_only,3,2,0.3264027242054198,0.20084269103361907,133.66,True,
llm_only,3,3,0.16935537662533698,0.16935537662533698,190.93,True,
llm_only,3,4,0.24953898823512352,0.16935537662533698,247.71,True,
llm_only,3,5,0.14679057288690625,0.14679057288690625,305.21,True,
llm_only,3,6,0.19679001399299909,0.14679057288690625,355.95,True,
llm_only,3,7,0.14101534068531857,0.14101534068531857,417.28,True,
llm_only,3,8,0.19193833855188566,0.14101534068531857,485.02,True,
llm_only,3,9,0.14681718786418707,0.14101534068531857,575.01,True,
llm_only,3,10,0.16319990873376697,0.14101534068531857,636.34,True,
llm_only,3,11,0.1358631483084803,0.1358631483084803,695.6,True,
llm_only,3,12,0.1326068652129041,0.1326068652129041,755.69,True,
llm_only,3,13,0.13420389255867937,0.1326068652129041,823.87,True,
llm_only,3,14,0.13578741449985235,0.1326068652129041,884.37,True,
llm_only,3,15,0.1347499864725811,0.1326068652129041,947.16,True,
llm_only,3,16,0.14156256530471256,0.1326068652129041,1010.15,True,
llm_only,3,17,0.13258144827264431,0.13258144827264431,1075.06,True,
llm_only,3,18,0.13461038080124546,0.13258144827264431,1143.7,True,
llm_only,3,19,0.134097284699763,0.13258144827264431,1210.14,True,
llm_only,3,20,0.13279716283010848,0.13258144827264431,1274.07,True,
llm_only,3,21,0.13236992896503805,0.13236992896503805,1339.11,True,
llm_only,3,22,0.13274490411432005,0.13236992896503805,1404.93,True,
llm_only,3,23,0.13192346720169765,0.13192346720169765,1469.58,True,
llm_only,3,24,0.1318479565776372,0.1318479565776372,1534.53,True,
llm_only,3,25,0.13196638571839142,0.1318479565776372,1599.1,True,
llm_only,3,26,0.13242963359830848,0.1318479565776372,1664.32,True,
llm_only,3,27,0.13106526029249044,0.13106526029249044,1728.5,True,
llm_only,3,28,0.13059365774350357,0.13059365774350357,1792.24,True,
llm_only,3,29,0.1298602608281069,0.1298602608281069,1855.38,True,
llm_only,3,30,0.12912953521605047,0.12912953521605047,1917.93,True,
llm_only,3,31,0.1276563374583925,0.1276563374583925,1979.29,True,
llm_only,3,32,0.1256600208290029,0.1256600208290029,2039.56,True,
llm_only,3,33,0.12241211579470487,0.12241211579470487,2098.08,True,
llm_only,3,34,0.12357582756076409,0.12241211579470487,2155.36,True,
llm_only,3,35,0.12209406864081668,0.12209406864081668,2213.26,True,
llm_only,4,1,0.23220559331081111,0.23220559331081111,53.44,True,
llm_only,4,2,0.40918011620960465,0.23220559331081111,123.86,True,
llm_only,4,3,0.2529892489685713,0.23220559331081111,174.94,True,
llm_only,4,4,0.2655107131454434,0.23220559331081111,216.77,True,
llm_only,4,5,0.2813988503780492,0.23220559331081111,279.73,True,
llm_only,4,6,0.20255650202002334,0.20255650202002334,329.63,True,
llm_only,4,7,0.24600586608382444,0.20255650202002334,376.4,True,
llm_only,4,8,0.20914849145050557,0.20255650202002334,449.62,True,
llm_only,4,9,0.2237075717514477,0.20255650202002334,499.52,True,
llm_only,4,10,0.20303650202002338,0.20255650202002334,549.42,True,
llm_only,4,11,0.2165740952989753,0.20255650202002334,604.8,True,
llm_only,4,12,0.21491108592627559,0.20255650202002334,654.7,True,
llm_only,4,13,0.19612143991568218,0.19612143991568218,708.42,True,
llm_only,4,14,0.19888347052012803,0.19612143991568218,763.97,True,
llm_only,4,15,0.19955621396233197,0.19612143991568218,820.41,True,
llm_only,4,16,0.2021687555194805,0.19612143991568218,879.51,True,
llm_only,4,17,0.1976644027168084,0.19612143991568218,923.42,True,
llm_only,4,18,0.21258986520466544,0.19612143991568218,969.99,True,
llm_only,4,19,0.19341563507541784,0.19341563507541784,1019.64,True,
llm_only,4,20,0.1916056156458853,0.1916056156458853,1070.97,True,
llm_only,4,21,0.18748428076835072,0.18748428076835072,1122.81,True,
llm_only,4,22,0.1823216566112213,0.1823216566112213,1175.31,True,
llm_only,4,23,0.17973215527990713,0.17973215527990713,1228.48,True,
llm_only,4,24,0.17879036866225245,0.17879036866225245,1282.34,True,
llm_only,4,25,0.17755973578919798,0.17755973578919798,1337.07,True,
llm_only,4,26,0.17655288599600696,0.17655288599600696,1392.51,True,
llm_only,4,27,0.17586117315366076,0.17586117315366076,1448.49,True,
llm_only,4,28,0.17657613997519173,0.17586117315366076,1505.21,True,
llm_only,4,29,0.18749972519592917,0.17586117315366076,1562.34,True,
llm_only,4,30,0.170449990784088,0.170449990784088,1618.11,True,
llm_only,4,31,0.16387835674761347,0.16387835674761347,1673.12,True,
llm_only,4,32,0.17099011607569659,0.16387835674761347,1727.38,True,
llm_only,4,33,0.16644279929463573,0.16387835674761347,1782.02,True,
llm_only,4,34,0.1645050886489244,0.16387835674761347,1836.92,True,
llm_only,4,35,0.16557798246085417,0.16387835674761347,1895.18,True,
llm_only,5,1,0.32360230266430007,0.32360230266430007,59.33,True,
llm_only,5,2,0.49259649762364666,0.32360230266430007,119.48,True,
llm_only,5,3,0.2638364978852014,0.2638364978852014,177.74,True,
llm_only,5,4,0.4402678042186401,0.2638364978852014,234.82,True,
llm_only,5,5,0.40158604193828656,0.2638364978852014,277.84,True,
llm_only,5,6,0.23859058029039043,0.23859058029039043,346.9,True,
llm_only,5,7,0.3353531572505916,0.23859058029039043,426.33,True,
llm_only,5,8,0.22546371383408578,0.22546371383408578,532.38,True,
llm_only,5,9,0.228103559967959,0.22546371383408578,690.68,True,
llm_only,5,10,0.22307010262479232,0.22307010262479232,793.27,True,
llm_only,5,11,0.2239341026247923,0.22307010262479232,895.86,True,
llm_only,5,12,0.22431093061072493,0.22307010262479232,991.79,True,
