arm,seed,step,loss,best_so_far,epsilon,sigma,timestep_fs,stable,violations
llm_only_relocated,0,1,0.49635692120647784,0.49635692120647784,3.6,0.47,20.0,True,
llm_only_relocated,0,2,0.41171477129869255,0.41171477129869255,5.0,0.47,20.0,True,
llm_only_relocated,0,3,0.5365190697347436,0.41171477129869255,6.0,0.47,20.0,True,
llm_only_relocated,0,4,0.2802458359195559,0.2802458359195559,5.0,0.505,20.0,True,
llm_only_relocated,0,5,0.1951589867690731,0.1951589867690731,5.0,0.54,20.0,True,
llm_only_relocated,0,6,0.2504639410841707,0.1951589867690731,5.0,0.575,20.0,True,
llm_only_relocated,0,7,0.28506292551106294,0.1951589867690731,4.4,0.545,20.0,True,
llm_only_relocated,0,8,0.1714952672144283,0.1714952672144283,5.2,0.555,20.0,True,
llm_only_relocated,0,9,0.17002720276552039,0.17002720276552039,5.3,0.56,20.0,True,
llm_only_relocated,0,10,0.1739225796770194,0.17002720276552039,5.3,0.56,20.0,True,
llm_only_relocated,0,11,0.17502595190511963,0.17002720276552039,5.3,0.562,15.0,True,
llm_only_relocated,0,12,0.17954211453503247,0.17002720276552039,5.35,0.565,20.0,True,
llm_only_relocated,0,13,0.16633835605657413,0.16633835605657413,5.25,0.558,20.0,True,
llm_only_relocated,0,14,0.1664674297158165,0.16633835605657413,5.2,0.555,20.0,True,
llm_only_relocated,0,15,0.1710785642098499,0.16633835605657413,5.25,0.56,20.0,True,
llm_only_relocated,0,16,0.16949052704582734,0.16633835605657413,5.22,0.5565,20.0,True,
llm_only_relocated,0,17,0.1683415262450719,0.16633835605657413,5.22,0.557,20.0,True,
llm_only_relocated,0,18,0.16899821009382968,0.16633835605657413,5.24,0.5585,20.0,True,
llm_only_relocated,0,19,0.16762342267133484,0.16633835605657413,5.26,0.559,20.0,True,
llm_only_relocated,0,20,0.1672156725452714,0.16633835605657413,5.23,0.5575,20.0,True,
llm_only_relocated,0,21,0.16634174953825903,0.16633835605657413,5.25,0.558,20.0,True,
llm_only_relocated,0,22,0.17190018848537839,0.16633835605657413,5.25,0.558,14.0,True,
llm_only_relocated,0,23,0.16746742958819213,0.16633835605657413,5.24,0.558,20.0,True,
