epsilon,max_stable_timestep_fs
1.0,55.7725
1.02283,55.1466
1.04566,54.5412
1.06849,53.9554
1.09132,53.388
1.11416,52.8381
1.13699,52.305
1.15982,51.7876
1.18265,51.2853
1.20548,50.7973
1.22831,50.323
1.25114,49.8617
1.27397,49.4129
1.2968,48.976
1.31963,48.5505
1.34247,48.1359
1.3653,47.7317
1.38813,47.3375
1.41096,46.953
1.43379,46.5777
1.45662,46.2112
1.47945,45.8532
1.50228,45.5035
1.52511,45.1616
1.54795,44.8273
1.57078,44.5003
1.59361,44.1804
1.61644,43.8673
1.63927,43.5607
1.6621,43.2605
1.68493,42.9664
1.70776,42.6783
1.73059,42.3958
1.75342,42.1189
1.77626,41.8473
1.79909,41.5809
1.82192,41.3196
1.84475,41.0631
1.86758,40.8113
1.89041,40.5641
1.91324,40.3214
1.93607,40.0829
1.9589,39.8487
1.98174,39.6185
2.00457,39.3922
2.0274,39.1698
2.05023,38.9511
2.07306,38.736
2.09589,38.5244
2.11872,38.3163
2.14155,38.1115
2.16438,37.91
2.18721,37.7116
2.21005,37.5163
2.23288,37.324
2.25571,37.1346
2.27854,36.9481
2.30137,36.7644
2.3242,36.5834
2.34703,36.405
2.36986,36.2292
2.39269,36.0559
2.41553,35.8851
2.43836,35.7167
2.46119,35.5507
2.48402,35.3869
2.50685,35.2254
2.52968,35.0661
2.55251,34.9089
2.57534,34.7539
2.59817,34.6008
2.621,34.4498
2.64384,34.3007
2.66667,34.1536
2.6895,34.0083
2.71233,33.8649
2.73516,33.7232
2.75799,33.5834
2.78082,33.4452
2.80365,33.3087
2.82648,33.1739
2.84932,33.0408
2.87215,32.9092
2.89498,32.7792
2.91781,32.6507
2.94064,32.5237
2.96347,32.3981
2.9863,32.2741
3.00913,32.1514
3.03196,32.0301
3.05479,31.9102
3.07763,31.7916
3.10046,31.6743
3.12329,31.5584
3.14612,31.4436
3.16895,31.3302
3.19178,31.2179
3.21461,31.1069
3.23744,30.997
3.26027,30.8883
3.28311,30.7807
3.30594,30.6742
3.32877,30.5688
3.3516,30.4645
3.37443,30.3613
3.39726,30.2591
3.42009,30.1579
3.44292,30.0578
3.46575,29.9586
3.48858,29.8604
3.51142,29.7632
3.53425,29.6669
3.55708,29.5715
3.57991,29.4771
3.60274,29.3835
3.62557,29.2909
3.6484,29.1991
3.67123,29.1081
3.69406,29.0181
3.71689,28.9288
3.73973,28.8404
3.76256,28.7527
3.78539,28.6659
3.80822,28.5798
3.83105,28.4945
3.85388,28.41
3.87671,28.3262
3.89954,28.2432
3.92237,28.1609
3.94521,28.0793
3.96804,27.9984
3.99087,27.9182
4.0137,27.8386
4.03653,27.7598
4.05936,27.6816
4.08219,27.6041
4.10502,27.5272
4.12785,27.451
4.15068,27.3754
4.17352,27.3004
4.19635,27.2261
4.21918,27.1523
4.24201,27.0791
4.26484,27.0065
4.28767,26.9345
4.3105,26.8631
4.33333,26.7923
4.35616,26.722
4.379,26.6522
4.40183,26.583
4.42466,26.5143
4.44749,26.4462
4.47032,26.3786
4.49315,26.3115
4.51598,26.2449
4.53881,26.1788
4.56164,26.1132
4.58447,26.0481
4.60731,25.9835
4.63014,25.9193
4.65297,25.8556
4.6758,25.7924
4.69863,25.7297
4.72146,25.6674
4.74429,25.6056
4.76712,25.5442
4.78995,25.4832
4.81279,25.4227
4.83562,25.3626
4.85845,25.303
4.88128,25.2437
4.90411,25.1849
4.92694,25.1265
4.94977,25.0685
4.9726,25.0109
4.99543,24.9536
5.01826,24.8968
5.0411,24.8404
5.06393,24.7843
5.08676,24.7286
5.10959,24.6733
5.13242,24.6184
5.15525,24.5638
5.17808,24.5096
5.20091,24.4557
5.22374,24.4022
5.24658,24.3491
5.26941,24.2963
5.29224,24.2438
5.31507,24.1917
5.3379,24.1399
5.36073,24.0884
5.38356,24.0373
5.40639,23.9865
5.42922,23.936
5.45205,23.8858
5.47489,23.836
5.49772,23.7864
5.52055,23.7372
5.54338,23.6883
5.56621,23.6396
5.58904,23.5913
5.61187,23.5433
5.6347,23.4955
5.65753,23.4481
5.68037,23.4009
5.7032,23.354
5.72603,23.3074
5.74886,23.2611
5.77169,23.215
5.79452,23.1692
5.81735,23.1237
5.84018,23.0785
5.86301,23.0335
5.88584,22.9888
5.90868,22.9443
5.93151,22.9001
5.95434,22.8562
5.97717,22.8125
6.0,22.769
