arm,tag,seed,step,stable,violations,loss,cost_usd,epsilon,sigma,bond_length_nm,bond_k,angle_deg,angle_k
"GP (tuned), LLM warm-up",gp_llm_warm,0,1,True,,0.44166907167240105,0.045259,3.0,0.335,0.3,1900.0,127.0,47.0
"GP (tuned), LLM warm-up",gp_llm_warm,0,2,True,,0.754946773897161,0.045541,2.2,0.355,0.298,1500.0,122.0,60.0
"GP (tuned), LLM warm-up",gp_llm_warm,0,3,True,,0.8832541903737609,0.044476,4.2,0.31,0.302,2400.0,132.0,38.0
"GP (tuned), LLM warm-up",gp_llm_warm,0,4,True,,2.0237972616304307,0.044445,5.5,0.295,0.296,1200.0,124.0,32.0
"GP (tuned), LLM warm-up",gp_llm_warm,0,5,True,,4.657046392896229,0.043468,1.6,0.385,0.305,3200.0,118.0,70.0
"GP (tuned), LLM warm-up",gp_llm_warm,0,6,False,blowup,,0.006305,3.6,0.325,0.29,900.0,140.0,25.0
"GP (tuned), LLM warm-up",gp_llm_warm,0,7,True,,0.9985490916404814,0.044715,2.6,0.345,0.31,2800.0,112.0,90.0
"GP (tuned), LLM warm-up",gp_llm_warm,0,8,True,,0.9108900517632484,0.043225,6.8,0.288,0.3,4500.0,130.0,55.0
"GP (tuned), LLM warm-up",gp_llm_warm,0,9,True,,2.7896648081558513,0.046333,4.4,0.365,0.285,2100.0,150.0,15.0
"GP (tuned), LLM warm-up",gp_llm_warm,0,10,False,blowup,,0.002408,3.2,0.315,0.315,1600.0,105.0,110.0
"GP (tuned), LLM warm-up",gp_llm_warm,0,11,False,blowup,,0.002661,2.136671,0.346513,0.4,400.0,80.0,91.997038
"GP (tuned), LLM warm-up",gp_llm_warm,0,12,True,,2.230745324720512,0.047016,1.0,0.337491,0.333894,1351.352114,80.0,150.0
"GP (tuned), LLM warm-up",gp_llm_warm,0,13,True,,0.4443447729167184,0.045847,2.975743,0.334196,0.300862,1969.20711,125.503216,48.786846
"GP (tuned), LLM warm-up",gp_llm_warm,0,14,True,,0.573896468664506,0.0461,3.009425,0.334052,0.297858,1731.022403,128.431284,40.445636
"GP (tuned), LLM warm-up",gp_llm_warm,0,15,True,,0.4221490529468493,0.045272,3.017119,0.335818,0.302198,1935.287808,127.379587,50.253069
"GP (tuned), LLM warm-up",gp_llm_warm,0,16,True,,0.13274140605603393,0.045575,2.965833,0.336454,0.310157,1873.874081,127.217957,56.380045
"GP (tuned), LLM warm-up",gp_llm_warm,0,17,False,blowup,,0.009473,2.95116,0.337316,0.386034,2528.366822,154.012102,35.042513
"GP (tuned), LLM warm-up",gp_llm_warm,0,18,False,blowup,,0.002496,5.611279,0.336475,0.201868,1516.592549,151.749083,58.076857
"GP (tuned), LLM warm-up",gp_llm_warm,0,19,False,blowup,,0.002365,2.842837,0.336427,0.356805,1691.515038,111.187943,60.640007
"GP (tuned), LLM warm-up",gp_llm_warm,0,20,False,blowup,,0.038385,2.851251,0.337118,0.231707,5492.933206,127.175111,62.760203
"GP (tuned), LLM warm-up",gp_llm_warm,0,21,False,blowup,,0.002419,4.364289,0.374643,0.350602,400.0,170.524539,41.444927
"GP (tuned), LLM warm-up",gp_llm_warm,0,22,True,,2.8340902242018484,0.043084,6.50841,0.326678,0.362038,400.0,106.945364,145.513865
"GP (tuned), LLM warm-up",gp_llm_warm,0,23,True,,1.3540223912418963,0.046928,2.203804,0.332152,0.4,743.505073,144.030398,62.264277
"GP (tuned), LLM warm-up",gp_llm_warm,0,24,True,,0.8167190226661407,0.045162,2.6218,0.33637,0.332501,2416.608385,127.05468,48.472334
"GP (tuned), LLM warm-up",gp_llm_warm,0,25,False,blowup,,0.002438,4.253706,0.353591,0.335184,400.0,113.482764,48.329422
"GP (tuned), LLM warm-up",gp_llm_warm,0,26,True,,0.720095905441887,0.046265,3.004934,0.283471,0.214279,3441.507033,163.176426,56.891588
"GP (tuned), LLM warm-up",gp_llm_warm,0,27,False,blowup,,0.002833,1.710071,0.28989,0.231735,2494.659596,86.381765,108.712719
"GP (tuned), LLM warm-up",gp_llm_warm,0,28,False,blowup,,0.002297,1.0,0.33319,0.4,6000.0,80.0,53.69031
"GP (tuned), LLM warm-up",gp_llm_warm,0,29,False,blowup,,0.00232,3.641906,0.314674,0.235892,1094.638733,136.551972,84.393715
"GP (tuned), LLM warm-up",gp_llm_warm,0,30,False,blowup,,0.002302,4.069963,0.28,0.35593,6000.0,175.0,71.520561
"GP (tuned), LLM warm-up",gp_llm_warm,0,31,False,blowup,,0.00228,8.0,0.28,0.2,3077.38985,175.0,150.0
"GP (tuned), LLM warm-up",gp_llm_warm,0,32,True,,9.998856838155042,0.042823,7.08358,0.358792,0.4,5721.087291,121.111994,25.962032
"GP (tuned), LLM warm-up",gp_llm_warm,0,33,False,blowup,,0.002429,3.763717,0.33429,0.2,1850.466561,160.044134,56.105926
"GP (tuned), LLM warm-up",gp_llm_warm,0,34,False,blowup,,0.002719,3.437522,0.352482,0.2,400.0,125.069747,90.3392
"GP (tuned), LLM warm-up",gp_llm_warm,0,35,False,blowup,,0.002488,2.223091,0.318211,0.234419,6000.0,125.004518,85.217694
"GP (tuned), LLM warm-up",gp_llm_warm,0,36,False,blowup,,0.002371,4.066355,0.28,0.2,3074.502756,80.0,95.696301
"GP (tuned), LLM warm-up",gp_llm_warm,0,37,False,blowup,,0.003056,3.687647,0.335432,0.285351,400.0,85.408905,110.935401
"GP (tuned), LLM warm-up",gp_llm_warm,0,38,True,,2.4602805894193933,0.044801,4.218423,0.28,0.2,6000.0,80.0,50.765075
"GP (tuned), LLM warm-up",gp_llm_warm,0,39,False,blowup,,0.002363,8.0,0.28,0.4,5223.112408,175.0,27.45374
"GP (tuned), LLM warm-up",gp_llm_warm,0,40,False,blowup,,0.028567,7.702711,0.346344,0.311573,1520.346467,89.019382,5.0
"GP (tuned), LLM warm-up",gp_llm_warm,0,41,True,,1.9434251283123944,0.042878,1.0,0.317131,0.2,4662.953612,80.0,95.744995
"GP (tuned), LLM warm-up",gp_llm_warm,0,42,False,min_image,,0.0,4.073174,0.337888,0.326466,5974.93583,175.0,41.359217
"GP (tuned), LLM warm-up",gp_llm_warm,0,43,True,,2.938376995056178,0.046398,8.0,0.28,0.399483,3650.865609,175.0,5.0
"GP (tuned), LLM warm-up",gp_llm_warm,0,44,False,blowup,,0.002386,3.316494,0.303596,0.269701,4723.465035,141.089289,53.478484
"GP (tuned), LLM warm-up",gp_llm_warm,0,45,False,blowup,,0.006817,5.297893,0.342661,0.28148,1447.879937,160.580609,65.937748
"GP (tuned), LLM warm-up",gp_llm_warm,0,46,False,blowup,,0.002597,6.900931,0.350131,0.2,400.0,80.0,21.687747
"GP (tuned), LLM warm-up",gp_llm_warm,0,47,False,blowup,,0.004195,8.0,0.28,0.2,4210.89921,133.524493,112.238144
"GP (tuned), LLM warm-up",gp_llm_warm,0,48,False,blowup,,0.002447,1.0,0.319111,0.2,400.0,175.0,51.391537
"GP (tuned), LLM warm-up",gp_llm_warm,0,49,True,,1.1005504592928645,0.043683,2.050624,0.312374,0.2,4217.224796,175.0,81.830133
"GP (tuned), LLM warm-up",gp_llm_warm,0,50,True,,2.3432340378532523,0.044316,7.59951,0.29954,0.2,4989.450325,92.15979,133.028977
"GP (tuned), LLM warm-up",gp_llm_warm,0,51,False,min_image,,0.0,1.0,0.364664,0.2,400.0,175.0,29.596774
"GP (tuned), LLM warm-up",gp_llm_warm,0,52,False,blowup,,0.003083,1.0,0.28,0.2,6000.0,162.597421,5.0
"GP (tuned), LLM warm-up",gp_llm_warm,0,53,False,min_image,,0.0,8.0,0.28,0.272906,4905.46331,147.141974,5.0
"GP (tuned), LLM warm-up",gp_llm_warm,0,54,False,min_image,,0.0,8.0,0.28,0.2,3786.834809,108.70617,86.897256
"GP (tuned), LLM warm-up",gp_llm_warm,0,55,False,blowup,,0.002385,7.446744,0.28,0.2,687.535424,80.352344,150.0
"GP (tuned), LLM warm-up",gp_llm_warm,0,56,False,min_image,,0.0,1.0,0.322983,0.294087,5205.404485,112.764955,28.927445
"GP (tuned), LLM warm-up",gp_llm_warm,0,57,False,blowup,,0.002655,3.506831,0.332434,0.2,1240.997404,80.0,5.0
"GP (tuned), LLM warm-up",gp_llm_warm,0,58,True,,1.918456083959649,0.046073,1.0,0.352585,0.310289,400.0,101.177653,47.614371
"GP (tuned), LLM warm-up",gp_llm_warm,0,59,False,blowup,,0.002513,8.0,0.373358,0.266274,400.0,80.0,126.157314
"GP (tuned), LLM warm-up",gp_llm_warm,0,60,False,min_image,,0.0,3.685187,0.33375,0.2,2226.57602,144.718796,150.0
"GP (tuned), LLM warm-up",gp_llm_warm,0,61,False,blowup,,0.00252,1.772643,0.336485,0.305586,1886.706808,140.426215,103.569879
"GP (tuned), LLM warm-up",gp_llm_warm,0,62,False,min_image,,0.0,8.0,0.45,0.4,400.0,175.0,5.0
"GP (tuned), LLM warm-up",gp_llm_warm,0,63,False,blowup,,0.00245,6.459309,0.358434,0.4,400.0,153.177266,34.466403
"GP (tuned), LLM warm-up",gp_llm_warm,0,64,False,min_image,,0.0,8.0,0.28,0.2,3403.42849,80.0,150.0
"GP (tuned), LLM warm-up",gp_llm_warm,0,65,False,blowup,,0.00255,6.434757,0.365842,0.330584,4973.914788,145.466785,44.698123
"GP (tuned), LLM warm-up",gp_llm_warm,0,66,False,blowup,,0.002496,8.0,0.359441,0.4,400.0,159.950671,103.963518
"GP (tuned), LLM warm-up",gp_llm_warm,0,67,False,min_image,,0.0,8.0,0.404349,0.38876,400.0,175.0,48.365021
