arm,tag,seed,step,stable,violations,loss,cost_usd,epsilon,sigma,bond_length_nm,bond_k,angle_deg,angle_k
"GP (tuned), random warm-up",gp_tuned,0,1,False,blowup,,0.002319,5.149912,0.423525,0.371589,5144.609737,139.238551,60.735348
"GP (tuned), random warm-up",gp_tuned,0,2,False,min_image,,0.0,4.343656,0.418069,0.295995,2599.594858,159.427483,53.922443
"GP (tuned), random warm-up",gp_tuned,0,3,False,blowup,,0.002627,1.982455,0.427915,0.294722,4885.100211,129.445361,103.437532
"GP (tuned), random warm-up",gp_tuned,0,4,True,,1.8802365147230462,0.043935,6.310309,0.298004,0.29472,1443.461123,150.007227,36.399801
"GP (tuned), random warm-up",gp_tuned,0,5,True,,4.741899086096762,0.04575,2.55625,0.345703,0.38052,2919.719944,138.241028,135.840545
"GP (tuned), random warm-up",gp_tuned,0,6,False,blowup,,0.002463,2.196367,0.340886,0.350137,3803.851745,110.879487,10.571687
"GP (tuned), random warm-up",gp_tuned,0,7,False,blowup,,0.003035,5.445412,0.449201,0.31637,2720.464094,125.096263,95.408965
"GP (tuned), random warm-up",gp_tuned,0,8,False,blowup,,0.002324,6.448418,0.441427,0.332505,476.001159,139.170379,102.680646
"GP (tuned), random warm-up",gp_tuned,0,9,True,,0.8432199249913124,0.045806,1.390003,0.356697,0.203998,2873.581159,173.060739,57.119447
"GP (tuned), random warm-up",gp_tuned,0,10,False,blowup,,0.002297,7.427648,0.31686,0.313038,5244.574343,128.352051,137.924828
"GP (tuned), random warm-up",gp_tuned,0,11,True,,6.593046579790314,0.042234,8.0,0.425414,0.2,6000.0,175.0,5.0
"GP (tuned), random warm-up",gp_tuned,0,12,False,min_image,,0.0,4.126698,0.437515,0.29702,2792.083627,155.895906,56.91143
"GP (tuned), random warm-up",gp_tuned,0,13,False,blowup,,0.002493,2.052689,0.429567,0.285749,4819.788861,138.644564,95.142899
"GP (tuned), random warm-up",gp_tuned,0,14,False,blowup,,0.002329,5.359927,0.423906,0.367518,5293.737799,140.550519,53.321798
"GP (tuned), random warm-up",gp_tuned,0,15,False,blowup,,0.002537,1.967972,0.414962,0.289095,4889.893776,131.688109,100.29445
"GP (tuned), random warm-up",gp_tuned,0,16,False,blowup,,0.00233,7.369401,0.317686,0.312564,4451.991958,124.445825,147.337523
"GP (tuned), random warm-up",gp_tuned,0,17,False,blowup,,0.002643,5.288175,0.45,0.292701,980.533956,113.478109,125.71114
"GP (tuned), random warm-up",gp_tuned,0,18,False,blowup,,0.00235,6.360374,0.45,0.339885,2486.463827,148.933633,78.078325
"GP (tuned), random warm-up",gp_tuned,0,19,False,blowup,,0.002452,2.337951,0.372148,0.4,3050.369899,93.159748,5.0
"GP (tuned), random warm-up",gp_tuned,0,20,True,,1.165013741235983,0.045882,1.306038,0.378887,0.2,4272.723886,175.0,5.0
