arm,tag,seed,step,stable,violations,loss,cost_usd,epsilon,sigma,bond_length_nm,bond_k,angle_deg,angle_k
GP (untuned),gp_untuned,0,1,False,blowup,,0.002293,5.149912,0.423525,0.371589,5144.609737,139.238551,60.735348
GP (untuned),gp_untuned,0,2,False,min_image,,0.0,4.343656,0.418069,0.295995,2599.594858,159.427483,53.922443
GP (untuned),gp_untuned,0,3,False,blowup,,0.002642,1.982455,0.427915,0.294722,4885.100211,129.445361,103.437532
GP (untuned),gp_untuned,0,4,True,,1.8802365147230462,0.043728,6.310309,0.298004,0.29472,1443.461123,150.007227,36.399801
GP (untuned),gp_untuned,0,5,True,,4.741899086096762,0.045401,2.55625,0.345703,0.38052,2919.719944,138.241028,135.840545
GP (untuned),gp_untuned,0,6,False,blowup,,0.002462,2.196367,0.340886,0.350137,3803.851745,110.879487,10.571687
GP (untuned),gp_untuned,0,7,False,blowup,,0.003031,5.445412,0.449201,0.31637,2720.464094,125.096263,95.408965
GP (untuned),gp_untuned,0,8,False,blowup,,0.002324,6.448418,0.441427,0.332505,476.001159,139.170379,102.680646
GP (untuned),gp_untuned,0,9,True,,0.8432199249913124,0.045739,1.390003,0.356697,0.203998,2873.581159,173.060739,57.119447
GP (untuned),gp_untuned,0,10,False,blowup,,0.002312,7.427648,0.31686,0.313038,5244.574343,128.352051,137.924828
GP (untuned),gp_untuned,0,11,True,,1.242856634054942,0.045132,1.0,0.322034,0.2,983.663947,175.0,12.242535
GP (untuned),gp_untuned,0,12,True,,0.8102067152829714,0.045827,1.384844,0.354738,0.209646,2584.847935,173.512607,55.391165
GP (untuned),gp_untuned,0,13,False,min_image,,0.0,5.38522,0.28,0.358825,6000.0,175.0,150.0
GP (untuned),gp_untuned,0,14,True,,0.9214705096728543,0.045412,1.187455,0.350226,0.210008,2152.047844,171.658527,53.917558
GP (untuned),gp_untuned,0,15,False,min_image,,0.0,4.267009,0.28,0.2,6000.0,94.078739,21.909893
GP (untuned),gp_untuned,0,16,True,,0.8619618741681512,0.045869,1.340974,0.352363,0.207946,2695.156152,175.0,56.822704
GP (untuned),gp_untuned,0,17,True,,0.8408488554453462,0.04573,1.639712,0.356727,0.211296,2240.254728,175.0,48.413156
