epsilon,sigma,loss,violations
0.5,0.3,0.959039,
0.5,0.30632,0.949013,
0.5,0.31263,1.053672,
0.5,0.31895,0.959721,
0.5,0.32526,0.893266,
0.5,0.33158,1.014685,
0.5,0.33789,1.010454,
0.5,0.34421,1.183785,
0.5,0.35053,1.305964,
0.5,0.35684,1.611541,
0.5,0.36316,1.659654,
0.5,0.36947,1.997042,
0.5,0.37579,2.516998,
0.5,0.38211,3.222475,
0.5,0.38842,4.169834,
0.5,0.39474,5.387722,
0.5,0.40105,6.91871,
0.5,0.40737,8.825741,
0.5,0.41368,11.184408,
0.5,0.42,14.092197,
0.57895,0.3,1.069903,
0.57895,0.30632,1.014724,
0.57895,0.31263,0.858351,
0.57895,0.31895,0.78181,
0.57895,0.32526,0.716525,
0.57895,0.33158,0.818309,
0.57895,0.33789,0.848202,
0.57895,0.34421,0.982995,
0.57895,0.35053,1.157406,
0.57895,0.35684,1.521263,
0.57895,0.36316,1.484808,
0.57895,0.36947,1.911373,
0.57895,0.37579,2.539595,
0.57895,0.38211,3.384963,
0.57895,0.38842,4.449115,
0.57895,0.39474,5.861634,
0.57895,0.40105,7.626061,
0.57895,0.40737,9.843161,
0.57895,0.41368,12.578785,
0.57895,0.42,15.943081,
0.65789,0.3,1.175573,
0.65789,0.30632,0.965189,
0.65789,0.31263,0.755521,
0.65789,0.31895,0.694239,
0.65789,0.32526,0.635101,
0.65789,0.33158,0.526868,
0.65789,0.33789,0.671724,
0.65789,0.34421,0.837923,
0.65789,0.35053,1.147686,
0.65789,0.35684,1.066537,
0.65789,0.36316,1.350807,
0.65789,0.36947,1.852287,
0.65789,0.37579,2.561091,
0.65789,0.38211,3.506639,
0.65789,0.38842,4.741673,
0.65789,0.39474,6.332005,
0.65789,0.40105,8.337507,
0.65789,0.40737,10.854048,
0.65789,0.41368,13.968939,
0.65789,0.42,17.793701,
0.73684,0.3,1.173891,
0.73684,0.30632,0.997161,
0.73684,0.31263,0.828233,
0.73684,0.31895,0.61162,
0.73684,0.32526,0.485441,
0.73684,0.33158,0.423385,
0.73684,0.33789,0.470157,
0.73684,0.34421,0.711378,
0.73684,0.35053,0.987202,
0.73684,0.35684,0.858531,
0.73684,0.36316,1.217661,
0.73684,0.36947,1.803274,
0.73684,0.37579,2.566637,
0.73684,0.38211,3.634875,
0.73684,0.38842,5.020453,
0.73684,0.39474,6.803828,
0.73684,0.40105,9.049043,
0.73684,0.40737,11.872098,
0.73684,0.41368,15.363741,
0.73684,0.42,19.638251,
0.81579,0.3,1.236277,
0.81579,0.30632,0.991024,
0.81579,0.31263,1.035489,
0.81579,0.31895,0.683885,
0.81579,0.32526,0.484716,
0.81579,0.33158,0.286014,
0.81579,0.33789,0.395588,
0.81579,0.34421,0.62344,
0.81579,0.35053,0.908495,
0.81579,0.35684,0.668682,
0.81579,0.36316,1.079112,
0.81579,0.36947,1.728924,
0.81579,0.37579,2.589497,
0.81579,0.38211,3.757441,
0.81579,0.38842,5.289295,
0.81579,0.39474,7.277761,
0.81579,0.40105,9.766574,
0.81579,0.40737,12.882607,
0.81579,0.41368,16.748734,
0.81579,0.42,21.486936,
0.89474,0.3,1.075934,
0.89474,0.30632,1.094658,
0.89474,0.31263,0.954211,
0.89474,0.31895,0.772024,
0.89474,0.32526,0.573211,
0.89474,0.33158,0.349867,
0.89474,0.33789,0.119635,
0.89474,0.34421,0.412391,
0.89474,0.35053,0.258418,
0.89474,0.35684,0.516317,
0.89474,0.36316,1.011632,
0.89474,0.36947,1.702942,
0.89474,0.37579,2.661527,
0.89474,0.38211,3.902059,
0.89474,0.38842,5.575155,
0.89474,0.39474,7.734194,
0.89474,0.40105,10.476339,
0.89474,0.40737,13.900539,
0.89474,0.41368,18.137872,
0.89474,0.42,23.326037,
0.97368,0.3,1.118662,
0.97368,0.30632,0.997555,
0.97368,0.31263,0.968122,
0.97368,0.31895,0.864809,
0.97368,0.32526,0.664138,
0.97368,0.33158,0.468083,
0.97368,0.33789,0.15948,
0.97368,0.34421,0.221659,
0.97368,0.35053,0.450124,
0.97368,0.35684,0.450565,
0.97368,0.36316,0.988182,
0.97368,0.36947,1.700802,
0.97368,0.37579,2.756516,
0.97368,0.38211,4.119264,
0.97368,0.38842,5.902017,
0.97368,0.39474,8.19896,
0.97368,0.40105,11.184281,
0.97368,0.40737,14.915243,
0.97368,0.41368,19.519628,
0.97368,0.42,25.167273,
1.05263,0.3,0.881273,
1.05263,0.30632,1.01575,
1.05263,0.31263,1.052262,
1.05263,0.31895,0.884386,
1.05263,0.32526,0.743419,
1.05263,0.33158,0.479082,
1.05263,0.33789,0.22938,
1.05263,0.34421,0.17633,
1.05263,0.35053,0.639854,
1.05263,0.35684,0.365398,
1.05263,0.36316,0.891831,
1.05263,0.36947,1.745961,
1.05263,0.37579,2.856112,
1.05263,0.38211,4.327097,
1.05263,0.38842,6.238821,
1.05263,0.39474,8.682343,
1.05263,0.40105,11.895613,
1.05263,0.40737,15.927328,
1.05263,0.41368,20.908282,
1.05263,0.42,27.029723,
1.13158,0.3,0.813539,
1.13158,0.30632,0.808845,
1.13158,0.31263,0.981837,
1.13158,0.31895,0.873785,
1.13158,0.32526,0.818796,
1.13158,0.33158,0.684246,
1.13158,0.33789,0.397497,
1.13158,0.34421,0.137689,
1.13158,0.35053,0.928221,
1.13158,0.35684,0.543573,
1.13158,0.36316,0.850625,
1.13158,0.36947,1.727951,
1.13158,0.37579,2.927896,
1.13158,0.38211,4.529975,
1.13158,0.38842,6.602841,
1.13158,0.39474,9.214898,
1.13158,0.40105,12.596341,
1.13158,0.40737,16.944125,
1.13158,0.41368,22.292821,
1.13158,0.42,28.884475,
1.21053,0.3,0.783562,
1.21053,0.30632,0.825151,
1.21053,0.31263,0.875656,
1.21053,0.31895,1.000993,
1.21053,0.32526,0.951734,
1.21053,0.33158,0.778663,
1.21053,0.33789,0.513395,
1.21053,0.34421,0.993844,
1.21053,0.35053,1.082943,
1.21053,0.35684,0.717044,
1.21053,0.36316,0.803013,
1.21053,0.36947,1.725423,
1.21053,0.37579,3.021889,
1.21053,0.38211,4.734868,
1.21053,0.38842,6.939128,
1.21053,0.39474,9.742835,
1.21053,0.40105,13.299444,
1.21053,0.40737,17.949263,
1.21053,0.41368,23.687514,
1.21053,0.42,30.70885,
1.28947,0.3,0.775156,
1.28947,0.30632,0.829629,
1.28947,0.31263,0.808395,
1.28947,0.31895,1.021977,
1.28947,0.32526,1.127114,
1.28947,0.33158,0.946261,
1.28947,0.33789,0.675496,
1.28947,0.34421,1.453337,
1.28947,0.35053,1.297142,
1.28947,0.35684,0.896388,
1.28947,0.36316,0.736731,
1.28947,0.36947,1.748762,
1.28947,0.37579,3.112364,
1.28947,0.38211,4.943624,
1.28947,0.38842,7.281971,
1.28947,0.39474,10.273285,
1.28947,0.40105,14.023508,
1.28947,0.40737,18.958081,
1.28947,0.41368,25.071492,
1.28947,0.42,32.56361,
1.36842,0.3,0.785713,
1.36842,0.30632,0.841551,
1.36842,0.31263,0.79659,
1.36842,0.31895,0.93959,
1.36842,0.32526,1.149245,
1.36842,0.33158,1.111303,
1.36842,0.33789,0.890581,
1.36842,0.34421,1.665602,
1.36842,0.35053,1.524977,
1.36842,0.35684,1.087351,
1.36842,0.36316,0.656994,
1.36842,0.36947,1.751309,
1.36842,0.37579,3.211696,
1.36842,0.38211,5.140181,
1.36842,0.38842,7.629365,
1.36842,0.39474,10.795001,
1.36842,0.40105,14.778124,
1.36842,0.40737,19.968812,
1.36842,0.41368,26.454193,
1.36842,0.42,34.402161,
1.44737,0.3,0.757853,
1.44737,0.30632,0.833437,
1.44737,0.31263,0.896627,
1.44737,0.31895,0.994238,
1.44737,0.32526,1.107056,
1.44737,0.33158,1.228453,
1.44737,0.33789,1.015776,
1.44737,0.34421,1.882306,
1.44737,0.35053,1.715019,
1.44737,0.35684,1.273432,
1.44737,0.36316,0.623744,
1.44737,0.36947,1.755471,
1.44737,0.37579,3.2928,
1.44737,0.38211,5.345974,
1.44737,0.38842,7.960049,
1.44737,0.39474,11.333871,
1.44737,0.40105,15.538211,
1.44737,0.40737,20.973399,
1.44737,0.41368,27.838779,
1.44737,0.42,36.244505,
1.52632,0.3,0.882847,
1.52632,0.30632,0.87875,
1.52632,0.31263,0.931158,
1.52632,0.31895,1.042554,
1.52632,0.32526,1.130521,
1.52632,0.33158,1.373806,
1.52632,0.33789,1.247071,
1.52632,0.34421,2.16075,
1.52632,0.35053,1.942207,
1.52632,0.35684,1.447824,
1.52632,0.36316,0.644649,
1.52632,0.36947,1.743604,
1.52632,0.37579,3.370064,
1.52632,0.38211,5.544008,
1.52632,0.38842,8.325569,
1.52632,0.39474,11.858304,
1.52632,0.40105,16.302911,
1.52632,0.40737,21.980522,
1.52632,0.41368,29.216074,
1.52632,0.42,38.101128,
1.60526,0.3,0.861614,
1.60526,0.30632,1.003613,
1.60526,0.31263,1.006908,
1.60526,0.31895,1.165314,
1.60526,0.32526,1.215959,
1.60526,0.33158,1.53191,
1.60526,0.33789,1.515433,
1.60526,0.34421,2.368971,
1.60526,0.35053,2.152411,
1.60526,0.35684,1.640483,
1.60526,0.36316,0.780189,
1.60526,0.36947,1.737725,
1.60526,0.37579,3.463832,
1.60526,0.38211,5.739352,
1.60526,0.38842,8.665021,
1.60526,0.39474,12.384277,
1.60526,0.40105,17.050972,
1.60526,0.40737,22.989723,
1.60526,0.41368,30.605872,
1.60526,0.42,39.935207,
1.68421,0.3,1.000843,
1.68421,0.30632,1.150227,
1.68421,0.31263,1.126625,
1.68421,0.31895,1.144325,
