epsilon,sigma,loss,loss_sd,n_stable,crash_frac,violations
0.5,0.3,1.011241,0.039627,5,0.0,
0.5,0.30308,1.077917,0.047219,5,0.0,
0.5,0.30615,0.983447,0.064113,5,0.0,
0.5,0.30923,0.989264,0.056486,5,0.0,
0.5,0.31231,0.944535,0.059766,5,0.0,
0.5,0.31538,0.969926,0.035736,5,0.0,
0.5,0.31846,0.929752,0.041069,5,0.0,
0.5,0.32154,0.924731,0.034902,5,0.0,
0.5,0.32462,0.924816,0.03582,5,0.0,
0.5,0.32769,0.915599,0.030277,5,0.0,
0.5,0.33077,0.974018,0.04212,5,0.0,
0.5,0.33385,0.982663,0.046322,5,0.0,
0.5,0.33692,0.997914,0.021624,5,0.0,
0.5,0.34,1.092702,0.031939,5,0.0,
0.5,0.34308,1.111134,0.046397,5,0.0,
0.5,0.34615,1.218582,0.026919,5,0.0,
0.5,0.34923,1.324432,0.036429,5,0.0,
0.5,0.35231,1.42645,0.042442,5,0.0,
0.5,0.35538,1.573907,0.021797,5,0.0,
0.5,0.35846,1.762066,0.016406,5,0.0,
0.5,0.36154,1.691154,0.124278,5,0.0,
0.5,0.36462,1.686559,0.019497,5,0.0,
0.5,0.36769,1.874405,0.010159,5,0.0,
0.5,0.37077,2.086898,0.012105,5,0.0,
0.5,0.37385,2.333795,0.012075,5,0.0,
0.5,0.37692,2.627922,0.014204,5,0.0,
0.5,0.38,2.973035,0.011331,5,0.0,
0.5,0.38308,3.358555,0.005367,5,0.0,
0.5,0.38615,3.814791,0.00916,5,0.0,
0.5,0.38923,4.314698,0.010249,5,0.0,
0.5,0.39231,4.883263,0.005571,5,0.0,
0.5,0.39538,5.529656,0.008211,5,0.0,
0.5,0.39846,6.250064,0.00681,5,0.0,
0.5,0.40154,7.042338,0.009733,5,0.0,
0.5,0.40462,7.943162,0.005165,5,0.0,
0.5,0.40769,8.933634,0.007657,5,0.0,
0.5,0.41077,10.038791,0.005465,5,0.0,
0.5,0.41385,11.259229,0.003475,5,0.0,
0.5,0.41692,12.609718,0.008252,5,0.0,
0.5,0.42,14.091468,0.004503,5,0.0,
0.53846,0.3,1.06894,0.040228,5,0.0,
0.53846,0.30308,0.965804,0.062474,5,0.0,
0.53846,0.30615,0.93701,0.062342,5,0.0,
0.53846,0.30923,0.935928,0.052649,5,0.0,
0.53846,0.31231,0.860747,0.05291,5,0.0,
0.53846,0.31538,0.899801,0.068767,5,0.0,
0.53846,0.31846,0.801312,0.024854,5,0.0,
0.53846,0.32154,0.853214,0.031456,5,0.0,
0.53846,0.32462,0.857411,0.068094,5,0.0,
0.53846,0.32769,0.843757,0.028771,5,0.0,
0.53846,0.33077,0.861746,0.021047,5,0.0,
0.53846,0.33385,0.894953,0.027873,5,0.0,
0.53846,0.33692,0.931942,0.033408,5,0.0,
0.53846,0.34,1.021603,0.027279,5,0.0,
0.53846,0.34308,1.075949,0.016399,5,0.0,
0.53846,0.34615,1.132318,0.023503,5,0.0,
0.53846,0.34923,1.242835,0.033491,5,0.0,
0.53846,0.35231,1.344164,0.018571,5,0.0,
0.53846,0.35538,1.521307,0.012361,5,0.0,
0.53846,0.35846,1.752103,0.036043,5,0.0,
0.53846,0.36154,1.494861,0.024952,5,0.0,
0.53846,0.36462,1.65045,0.01791,5,0.0,
0.53846,0.36769,1.824139,0.01343,5,0.0,
0.53846,0.37077,2.062373,0.013327,5,0.0,
0.53846,0.37385,2.327953,0.010383,5,0.0,
0.53846,0.37692,2.647771,0.005708,5,0.0,
0.53846,0.38,3.011079,0.007085,5,0.0,
0.53846,0.38308,3.441657,0.002395,5,0.0,
0.53846,0.38615,3.918383,0.007408,5,0.0,
0.53846,0.38923,4.456688,0.005558,5,0.0,
0.53846,0.39231,5.080675,0.005441,5,0.0,
0.53846,0.39538,5.767856,0.008208,5,0.0,
