step,epsilon,sigma,timestep_fs,thermostat_tau_ps,cutoff_nm,stable,violations,loss,best_so_far
1,1.0,0.34,5.0,0.5,1.0,True,,0.06773598588484357,0.06773598588484357
2,1.0,0.345,5.0,0.5,1.0,True,,0.20605525281634368,0.06773598588484357
3,1.0,0.335,5.0,0.5,1.0,True,,0.264117228769539,0.06773598588484357
4,1.1,0.34,5.0,0.5,1.0,True,,0.3165092841069923,0.06773598588484357
5,0.96,0.34,5.0,0.5,1.0,True,,0.06561062327514833,0.06561062327514833
6,0.92,0.34,5.0,0.5,1.0,True,,0.1265015007928854,0.06561062327514833
7,0.98,0.3405,5.0,0.5,1.0,True,,0.03622814034412204,0.03622814034412204
8,0.975,0.341,5.0,0.5,1.0,True,,0.070878132269763,0.03622814034412204
9,0.985,0.34,5.0,0.5,1.0,True,,0.09468962454837726,0.03622814034412204
10,0.98,0.3405,5.0,0.5,1.15,True,,0.059797071112830655,0.03622814034412204
11,0.98,0.3405,5.0,0.5,0.85,True,,0.16380324773774368,0.03622814034412204
12,0.98,0.3405,4.0,0.5,1.05,True,,0.01500948075084095,0.01500948075084095
13,0.98,0.3405,3.0,0.5,1.05,True,,0.13347185526410413,0.01500948075084095
14,0.98,0.3405,4.0,1.0,1.05,True,,0.12352674585509761,0.01500948075084095
15,0.98,0.3405,4.0,0.3,1.05,True,,0.09032279786895925,0.01500948075084095
16,0.98,0.3405,4.5,0.5,1.05,True,,0.05940242418398309,0.01500948075084095
17,0.98,0.3405,4.0,0.5,1.1,True,,0.09695485933418405,0.01500948075084095
18,0.99,0.3405,4.0,0.5,1.04,True,,0.08611128782139886,0.01500948075084095
19,0.978,0.3405,4.2,0.45,1.06,True,,0.04640370810172369,0.01500948075084095
20,0.982,0.3404,4.1,0.52,1.05,True,,0.0634069524246624,0.01500948075084095
21,0.98,0.3402,4.0,0.55,1.05,True,,0.098921519196829,0.01500948075084095
22,0.98,0.3406,4.05,0.5,1.05,True,,0.05705768422063948,0.01500948075084095
23,0.98,0.3405,4.0,0.48,1.055,True,,0.02883815209039888,0.01500948075084095
24,0.98,0.3405,4.0,0.49,1.052,True,,0.0472205369688928,0.01500948075084095
25,0.979,0.3405,4.0,0.5,1.05,True,,0.06886421307187082,0.01500948075084095
