step,epsilon,sigma,timestep_fs,thermostat_tau_ps,cutoff_nm,stable,violations,loss,best_so_far
1,0.99,0.34,8.0,0.4,0.9,True,,0.1294409514154388,0.1294409514154388
2,1.2,0.355,20.0,0.15,1.05,True,,0.8962255688057408,0.1294409514154388
3,0.7,0.32,4.0,0.9,0.78,True,,0.705765663657028,0.1294409514154388
4,1.55,0.375,35.0,1.4,0.95,True,,3.2282550232606475,0.1294409514154388
5,0.85,0.4,12.0,0.07,1.12,True,,9.39992257823923,0.1294409514154388
6,1.75,0.31,6.0,0.6,0.72,True,,0.971950410584174,0.1294409514154388
7,0.55,0.365,28.0,0.25,0.85,True,,1.7528212181820881,0.1294409514154388
8,1.35,0.33,15.0,1.9,1.0,True,,1.1219464298405375,0.1294409514154388
9,1.05,0.345,2.0,0.1,1.15,True,,0.08577627804098772,0.08577627804098772
10,0.65,0.415,50.0,0.75,0.82,False,blowup,,0.08577627804098772
11,0.5,0.42,60.0,0.05,0.7,False,blowup,,0.08577627804098772
12,0.5,0.34123,60.0,0.05,0.7,False,blowup,,0.08577627804098772
13,0.942373,0.342953,3.46256,0.065213,1.021036,True,,0.17392068280386985,0.08577627804098772
14,0.5,0.340446,1.0,0.05,0.787524,True,,1.1238566484069532,0.08577627804098772
15,1.088608,0.343944,3.887695,0.104589,1.147997,True,,0.20541408744524003,0.08577627804098772
16,1.186861,0.34239,9.164748,0.05,0.998172,True,,0.35875387543508086,0.08577627804098772
17,1.762372,0.345178,1.0,1.077427,1.149823,True,,3.4783941084971177,0.08577627804098772
18,0.974817,0.343102,13.805923,0.05,0.736988,True,,0.45916106665683165,0.08577627804098772
19,1.010881,0.339931,1.936516,0.429552,1.15,True,,0.3065250667836778,0.08577627804098772
20,1.184497,0.3,9.18755,0.05,0.7,True,,1.009933705022005,0.08577627804098772
21,1.002701,0.346222,4.773254,0.05,1.15,True,,0.33668593243515865,0.08577627804098772
22,0.620285,0.399423,60.0,2.0,0.742633,False,blowup,,0.08577627804098772
23,1.054421,0.42,60.0,2.0,1.00527,False,blowup,,0.08577627804098772
24,0.5,0.363869,60.0,0.05,1.15,False,blowup,,0.08577627804098772
25,2.0,0.3,60.0,0.05,0.7,False,blowup,,0.08577627804098772
