step,epsilon,sigma,timestep_fs,thermostat_tau_ps,cutoff_nm,stable,violations,loss,best_so_far
1,1.389267,0.401312,51.618791,1.702141,0.980604,False,blowup,,
2,1.076573,0.335704,4.346066,0.58168,0.914949,True,,0.29559971421086445,0.29559971421086445
3,1.718253,0.357597,24.174303,1.680354,0.851828,True,,1.502344761610112,0.29559971421086445
4,1.472258,0.344189,57.472154,0.323684,1.091539,False,blowup,,0.29559971421086445
5,1.210412,0.396109,31.708171,1.373815,1.024285,True,,10.461728885574903,0.29559971421086445
6,1.37303,0.364485,45.758322,0.25652,0.91312,True,,1.0128191157559325,0.29559971421086445
7,0.779499,0.38843,13.776471,0.313675,0.845863,True,,5.36513415465119,0.29559971421086445
8,0.724512,0.326679,23.80285,1.810067,0.902477,True,,0.41142963285086853,0.29559971421086445
9,1.419595,0.408282,6.857541,1.941128,0.993913,True,,21.348482476089604,0.29559971421086445
10,0.756364,0.342978,45.290482,1.23527,0.846271,True,,0.7726074187420573,0.29559971421086445
11,1.029766,0.333914,4.608428,0.541188,0.912285,True,,0.3045554925250315,0.29559971421086445
12,1.382391,0.400548,56.929278,1.681887,0.970673,False,blowup,,0.29559971421086445
13,0.794391,0.32639,40.162777,1.328238,0.927554,True,,0.4303036994196879,0.29559971421086445
14,0.994312,0.330431,4.775362,0.477201,0.90582,True,,0.43559718633667094,0.29559971421086445
15,0.848846,0.335112,6.186288,0.558718,0.915266,True,,0.37350361781389163,0.29559971421086445
16,1.234274,0.335186,3.18617,0.587129,0.913289,True,,0.7277630598456759,0.29559971421086445
17,0.5,0.331917,9.32637,0.487161,0.911818,True,,0.9352356125120198,0.29559971421086445
18,0.99259,0.335941,5.045126,1.043926,0.915455,True,,0.29209132728958875,0.29209132728958875
19,1.005345,0.333284,26.558829,0.05,0.875599,True,,0.27601242123472386,0.27601242123472386
20,0.993294,0.349152,25.200352,0.05,0.799736,True,,0.3759350476799188,0.27601242123472386
21,1.021481,0.329243,27.253715,0.05,0.893768,True,,0.5640512209609573,0.27601242123472386
22,0.975634,0.335248,26.107928,0.05,0.867061,True,,0.22429351321820548,0.22429351321820548
23,0.944673,0.336305,25.71008,0.05,0.861695,True,,0.1300382863179571,0.1300382863179571
24,0.863311,0.337406,24.586085,0.101107,0.854425,True,,0.2931877060442032,0.1300382863179571
25,1.062576,0.341229,27.557049,0.05,0.847926,True,,0.15519896924264573,0.1300382863179571
