arm,tag,seed,step,stable,violations,loss,cost_usd,epsilon,sigma,bond_length_nm,bond_k,angle_deg,angle_k
"BO, multi-output + constraints",gp_multi,0,1,False,blowup,,0.003893,5.458732,0.325864,0.208195,492.554759,157.260673,137.349559
"BO, multi-output + constraints",gp_multi,0,2,True,,7.112197078033376,0.078344,7.545507,0.418695,0.200548,5201.463949,83.19063,110.80004
"BO, multi-output + constraints",gp_multi,0,3,False,blowup,,0.005983,4.400848,0.431213,0.386809,2403.653102,134.295334,51.671062
"BO, multi-output + constraints",gp_multi,0,4,False,blowup,,0.030663,7.23192,0.318617,0.324637,870.485924,159.101194,119.129255
"BO, multi-output + constraints",gp_multi,0,5,True,,2.3086624146950343,0.074355,3.352819,0.305548,0.290068,4859.415914,101.91101,12.543089
"BO, multi-output + constraints",gp_multi,0,6,True,,6.057195922484077,0.07447,7.491968,0.444547,0.202941,5236.384505,173.213529,143.795476
"BO, multi-output + constraints",gp_multi,0,7,True,,2.2654627067335156,0.073003,1.462577,0.423024,0.213338,2328.135881,120.87838,145.079002
"BO, multi-output + constraints",gp_multi,0,8,True,,3.7192973267536864,0.072265,3.845572,0.434693,0.208613,5007.155169,119.461484,125.321578
"BO, multi-output + constraints",gp_multi,0,9,True,,1.815596840916146,0.075801,5.568302,0.326554,0.34053,5685.287991,92.047625,130.392853
"BO, multi-output + constraints",gp_multi,0,10,False,blowup,,0.027901,7.02491,0.322015,0.228249,4152.346356,147.888761,29.222675
"BO, multi-output + constraints",gp_multi,0,11,True,,0.9872692371520215,0.073464,3.069931,0.326761,0.219177,4883.575887,152.393705,109.20382
"BO, multi-output + constraints",gp_multi,0,12,True,,1.6880570499686165,0.072946,1.20229,0.305236,0.369221,4092.960555,115.803641,142.102065
"BO, multi-output + constraints",gp_multi,0,13,False,blowup,,0.003781,5.553363,0.44761,0.290918,856.923242,121.567051,135.872197
"BO, multi-output + constraints",gp_multi,0,14,True,,3.181154315057039,0.07155,5.61141,0.41519,0.214227,4327.696122,135.302707,108.33799
"BO, multi-output + constraints",gp_multi,0,15,True,,1.123367920373058,0.069833,1.974079,0.280893,0.235693,3512.065461,146.704534,79.96618
"BO, multi-output + constraints",gp_multi,0,16,False,blowup,,0.003613,5.617544,0.41198,0.374407,2754.226314,104.577267,100.305218
"BO, multi-output + constraints",gp_multi,0,17,False,blowup,,0.003747,5.662911,0.443158,0.347511,3378.850633,110.6186,112.745627
"BO, multi-output + constraints",gp_multi,0,18,True,,8.739214863799992,0.067706,5.417272,0.414508,0.35132,3070.448473,156.530616,60.480273
"BO, multi-output + constraints",gp_multi,0,19,True,,1.054587845608698,0.069841,1.301516,0.305647,0.290573,1628.869931,149.189144,70.963088
"BO, multi-output + constraints",gp_multi,0,20,True,,2.3872766298856827,0.071764,1.497138,0.368964,0.267231,5141.654265,171.906477,77.916584
"BO, multi-output + constraints",gp_multi,0,21,False,blowup,,0.003885,4.457274,0.312649,0.206972,1006.590815,136.502454,92.39183
"BO, multi-output + constraints",gp_multi,0,22,False,blowup,,0.003801,6.997567,0.379478,0.359777,689.804666,169.232138,146.550926
"BO, multi-output + constraints",gp_multi,0,23,True,,2.158358586977674,0.065287,6.181296,0.401204,0.309431,950.860518,127.147461,102.985846
"BO, multi-output + constraints",gp_multi,0,24,True,,11.420854252233275,0.065001,5.336639,0.396362,0.356498,5875.05462,152.021863,109.856832
"BO, multi-output + constraints",gp_multi,0,25,True,,1.601598968078295,0.065434,7.649913,0.284345,0.388524,5244.008779,93.377348,128.35863
"BO, multi-output + constraints",gp_multi,0,26,True,,4.95546305722382,0.068453,5.197373,0.354177,0.3755,5104.464252,118.055012,140.93241
