bond_length_nm,angle_deg,loss,violations
0.2,80.0,,blowup
0.2,85.0,1.815349,
0.2,90.0,1.916853,
0.2,95.0,1.460762,
0.2,100.0,,blowup
0.2,105.0,1.066806,
0.2,110.0,1.055174,
0.2,115.0,,blowup
0.2,120.0,,blowup
0.2,125.0,,blowup
0.2,130.0,0.670607,
0.2,135.0,0.674594,
0.2,140.0,0.882789,
0.2,145.0,,blowup
0.2,150.0,0.866677,
0.2,155.0,,blowup
0.2,160.0,,blowup
0.2,165.0,,blowup
0.2,170.0,,blowup
0.2,175.0,,blowup
0.21053,80.0,2.325281,
0.21053,85.0,2.024366,
0.21053,90.0,1.668869,
0.21053,95.0,,blowup
0.21053,100.0,1.285562,
0.21053,105.0,1.131598,
0.21053,110.0,1.024169,
0.21053,115.0,0.825352,
0.21053,120.0,0.725101,
0.21053,125.0,0.675724,
0.21053,130.0,0.698111,
0.21053,135.0,0.745217,
0.21053,140.0,0.715504,
0.21053,145.0,0.818921,
0.21053,150.0,0.863874,
0.21053,155.0,0.818056,
0.21053,160.0,0.871512,
0.21053,165.0,0.977158,
0.21053,170.0,0.908561,
0.21053,175.0,0.929842,
0.22105,80.0,2.372514,
0.22105,85.0,,blowup
0.22105,90.0,1.84704,
0.22105,95.0,1.504223,
0.22105,100.0,1.196959,
0.22105,105.0,0.965434,
0.22105,110.0,0.877328,
0.22105,115.0,0.72091,
0.22105,120.0,0.631708,
0.22105,125.0,0.632973,
0.22105,130.0,0.701194,
0.22105,135.0,0.711442,
0.22105,140.0,0.748115,
0.22105,145.0,0.849409,
0.22105,150.0,0.816404,
0.22105,155.0,0.866831,
0.22105,160.0,0.925057,
0.22105,165.0,0.897508,
0.22105,170.0,0.902066,
0.22105,175.0,0.931412,
0.23158,80.0,2.243979,
0.23158,85.0,2.148904,
0.23158,90.0,1.763231,
0.23158,95.0,1.373466,
0.23158,100.0,1.114247,
0.23158,105.0,1.023715,
0.23158,110.0,0.932017,
0.23158,115.0,0.744015,
0.23158,120.0,0.792308,
0.23158,125.0,0.741117,
0.23158,130.0,0.67636,
0.23158,135.0,0.853743,
0.23158,140.0,0.771627,
0.23158,145.0,0.846464,
0.23158,150.0,0.827866,
0.23158,155.0,0.975812,
0.23158,160.0,0.885129,
0.23158,165.0,0.905722,
0.23158,170.0,0.90355,
0.23158,175.0,0.990467,
0.24211,80.0,2.189757,
0.24211,85.0,1.967392,
0.24211,90.0,1.64638,
0.24211,95.0,1.190404,
0.24211,100.0,1.060394,
0.24211,105.0,1.034126,
0.24211,110.0,0.937385,
0.24211,115.0,0.897283,
0.24211,120.0,0.78319,
0.24211,125.0,0.718851,
0.24211,130.0,0.780567,
0.24211,135.0,0.741432,
0.24211,140.0,0.880227,
0.24211,145.0,0.880675,
0.24211,150.0,0.951486,
0.24211,155.0,0.907371,
0.24211,160.0,0.987126,
0.24211,165.0,0.955052,
0.24211,170.0,0.97766,
0.24211,175.0,1.007312,
0.25263,80.0,2.145741,
0.25263,85.0,1.967084,
0.25263,90.0,1.469553,
0.25263,95.0,1.209918,
0.25263,100.0,1.222981,
0.25263,105.0,1.121777,
0.25263,110.0,0.927015,
0.25263,115.0,0.845267,
0.25263,120.0,0.937866,
0.25263,125.0,0.914165,
0.25263,130.0,0.750387,
0.25263,135.0,0.784172,
0.25263,140.0,0.975529,
0.25263,145.0,0.926962,
0.25263,150.0,1.102499,
0.25263,155.0,1.010188,
0.25263,160.0,1.194052,
0.25263,165.0,1.043733,
0.25263,170.0,1.048651,
0.25263,175.0,1.034296,
0.26316,80.0,2.166577,
0.26316,85.0,1.88333,
0.26316,90.0,1.433983,
0.26316,95.0,1.351905,
0.26316,100.0,1.236241,
0.26316,105.0,1.221396,
0.26316,110.0,1.032853,
0.26316,115.0,0.913828,
0.26316,120.0,0.920487,
0.26316,125.0,0.831674,
0.26316,130.0,0.92872,
0.26316,135.0,0.978613,
0.26316,140.0,1.009788,
0.26316,145.0,1.056175,
0.26316,150.0,1.075832,
0.26316,155.0,1.067061,
0.26316,160.0,1.097994,
0.26316,165.0,1.110795,
0.26316,170.0,1.132819,
0.26316,175.0,1.115713,
0.27368,80.0,2.03625,
0.27368,85.0,1.790202,
0.27368,90.0,1.429623,
0.27368,95.0,1.26546,
0.27368,100.0,1.083885,
0.27368,105.0,0.99839,
0.27368,110.0,0.894786,
0.27368,115.0,0.77254,
0.27368,120.0,0.683225,
0.27368,125.0,0.64853,
0.27368,130.0,0.702802,
0.27368,135.0,0.788256,
0.27368,140.0,0.799227,
0.27368,145.0,0.856379,
0.27368,150.0,0.947476,
0.27368,155.0,0.944733,
0.27368,160.0,0.913877,
0.27368,165.0,0.971144,
0.27368,170.0,0.929587,
0.27368,175.0,0.984607,
0.28421,80.0,2.028239,
0.28421,85.0,1.769785,
0.28421,90.0,1.359777,
0.28421,95.0,1.164286,
0.28421,100.0,0.946106,
0.28421,105.0,0.856701,
0.28421,110.0,0.696696,
0.28421,115.0,0.637947,
0.28421,120.0,0.550759,
0.28421,125.0,0.526844,
0.28421,130.0,0.557886,
0.28421,135.0,0.642481,
0.28421,140.0,0.676278,
0.28421,145.0,0.663143,
0.28421,150.0,0.6995,
0.28421,155.0,0.793097,
0.28421,160.0,0.775723,
0.28421,165.0,0.772339,
0.28421,170.0,0.775305,
0.28421,175.0,0.787542,
0.29474,80.0,2.017061,
0.29474,85.0,1.568523,
0.29474,90.0,1.209091,
0.29474,95.0,0.90781,
0.29474,100.0,0.764107,
0.29474,105.0,0.591978,
0.29474,110.0,0.533375,
0.29474,115.0,0.447282,
0.29474,120.0,0.372399,
0.29474,125.0,0.356611,
0.29474,130.0,0.400961,
0.29474,135.0,0.399752,
0.29474,140.0,0.473894,
0.29474,145.0,0.531503,
0.29474,150.0,0.565437,
0.29474,155.0,0.585109,
0.29474,160.0,0.62739,
0.29474,165.0,0.606484,
0.29474,170.0,0.61453,
0.29474,175.0,0.664701,
0.30526,80.0,1.938547,
0.30526,85.0,1.476219,
0.30526,90.0,1.113301,
0.30526,95.0,0.773768,
0.30526,100.0,0.595672,
0.30526,105.0,0.431107,
0.30526,110.0,0.323148,
0.30526,115.0,0.257499,
0.30526,120.0,0.212851,
0.30526,125.0,0.148364,
0.30526,130.0,0.168869,
0.30526,135.0,0.265902,
0.30526,140.0,0.300633,
0.30526,145.0,0.352035,
0.30526,150.0,0.351048,
0.30526,155.0,0.437508,
0.30526,160.0,0.390399,
0.30526,165.0,0.392396,
0.30526,170.0,0.400207,
0.30526,175.0,0.454686,
0.31579,80.0,1.918482,
0.31579,85.0,1.471961,
0.31579,90.0,1.075826,
0.31579,95.0,0.593909,
0.31579,100.0,0.456535,
0.31579,105.0,0.378192,
0.31579,110.0,0.277938,
0.31579,115.0,0.21352,
0.31579,120.0,0.133681,
0.31579,125.0,0.091533,
0.31579,130.0,0.162726,
0.31579,135.0,0.192742,
0.31579,140.0,0.204588,
0.31579,145.0,0.242003,
0.31579,150.0,0.308289,
0.31579,155.0,0.336894,
0.31579,160.0,0.324756,
0.31579,165.0,0.320966,
0.31579,170.0,0.344297,
0.31579,175.0,0.342744,
0.32632,80.0,1.979915,
0.32632,85.0,1.527452,
0.32632,90.0,0.955495,
0.32632,95.0,0.737874,
0.32632,100.0,0.659251,
0.32632,105.0,0.513668,
0.32632,110.0,0.483857,
0.32632,115.0,0.410007,
0.32632,120.0,0.29526,
0.32632,125.0,0.266768,
0.32632,130.0,0.296484,
0.32632,135.0,0.369762,
0.32632,140.0,0.372703,
0.32632,145.0,0.431914,
0.32632,150.0,0.470016,
0.32632,155.0,0.462415,
0.32632,160.0,0.488228,
0.32632,165.0,0.491714,
0.32632,170.0,0.513283,
0.32632,175.0,0.534927,
0.33684,80.0,1.987564,
0.33684,85.0,1.545815,
0.33684,90.0,0.974166,
0.33684,95.0,0.898471,
0.33684,100.0,0.823506,
0.33684,105.0,0.77666,
0.33684,110.0,0.66413,
0.33684,115.0,0.634023,
0.33684,120.0,0.518107,
0.33684,125.0,0.430683,
0.33684,130.0,0.490135,
0.33684,135.0,0.522671,
0.33684,140.0,0.564321,
0.33684,145.0,0.622489,
0.33684,150.0,0.647388,
0.33684,155.0,0.684604,
0.33684,160.0,0.711903,
0.33684,165.0,0.726742,
0.33684,170.0,0.733491,
0.33684,175.0,0.681725,
0.34737,80.0,1.889523,
0.34737,85.0,1.498982,
0.34737,90.0,1.094302,
0.34737,95.0,1.040819,
0.34737,100.0,1.011263,
0.34737,105.0,0.959727,
0.34737,110.0,0.884137,
0.34737,115.0,0.776321,
0.34737,120.0,0.727278,
0.34737,125.0,0.64214,
0.34737,130.0,0.648645,
0.34737,135.0,0.699712,
0.34737,140.0,0.731062,
0.34737,145.0,0.76829,
0.34737,150.0,0.819595,
0.34737,155.0,0.836953,
0.34737,160.0,0.870574,
0.34737,165.0,0.910724,
0.34737,170.0,0.906888,
0.34737,175.0,0.919524,
0.35789,80.0,1.971333,
0.35789,85.0,1.5567,
0.35789,90.0,1.080923,
0.35789,95.0,1.160017,
0.35789,100.0,1.150249,
0.35789,105.0,1.148048,
0.35789,110.0,1.066131,
0.35789,115.0,0.994807,
0.35789,120.0,0.882551,
0.35789,125.0,0.833861,
0.35789,130.0,0.876474,
0.35789,135.0,0.914076,
0.35789,140.0,0.947928,
0.35789,145.0,1.009793,
0.35789,150.0,1.041817,
0.35789,155.0,1.067108,
0.35789,160.0,1.066615,
0.35789,165.0,1.085224,
0.35789,170.0,1.089174,
0.35789,175.0,1.144472,
0.36842,80.0,1.952584,
0.36842,85.0,1.545206,
0.36842,90.0,1.140963,
0.36842,95.0,1.22258,
0.36842,100.0,1.268475,
0.36842,105.0,1.335343,
0.36842,110.0,1.267376,
0.36842,115.0,1.163534,
0.36842,120.0,1.100523,
0.36842,125.0,1.059566,
0.36842,130.0,1.021975,
0.36842,135.0,1.088286,
0.36842,140.0,1.181265,
0.36842,145.0,1.205252,
0.36842,150.0,1.211361,
0.36842,155.0,1.272332,
0.36842,160.0,1.263409,
0.36842,165.0,1.323735,
0.36842,170.0,1.320642,
0.36842,175.0,1.311211,
0.37895,80.0,1.913537,
0.37895,85.0,1.510437,
0.37895,90.0,1.260986,
0.37895,95.0,1.321455,
0.37895,100.0,1.40437,
0.37895,105.0,1.396338,
0.37895,110.0,1.436061,
0.37895,115.0,1.414165,
0.37895,120.0,1.343154,
0.37895,125.0,1.291985,
0.37895,130.0,1.186114,
0.37895,135.0,1.277243,
0.37895,140.0,1.307175,
0.37895,145.0,1.425368,
0.37895,150.0,1.403611,
0.37895,155.0,1.427168,
0.37895,160.0,1.454425,
0.37895,165.0,1.476995,
0.37895,170.0,1.481312,
0.37895,175.0,1.556233,
0.38947,80.0,1.893224,
0.38947,85.0,1.512192,
0.38947,90.0,1.291845,
0.38947,95.0,1.383933,
0.38947,100.0,,blowup
0.38947,105.0,1.590516,
0.38947,110.0,,blowup
0.38947,115.0,,blowup
0.38947,120.0,,blowup
0.38947,125.0,1.429124,
0.38947,130.0,1.393703,
0.38947,135.0,1.527957,
0.38947,140.0,1.573679,
0.38947,145.0,1.630163,
0.38947,150.0,1.586004,
0.38947,155.0,1.626516,
0.38947,160.0,1.657777,
0.38947,165.0,1.761304,
0.38947,170.0,1.698502,
0.38947,175.0,1.734817,
0.4,80.0,1.953188,
0.4,85.0,1.553152,
0.4,90.0,1.35695,
0.4,95.0,1.469437,
0.4,100.0,1.627,
0.4,105.0,1.594993,
0.4,110.0,1.631714,
0.4,115.0,1.642411,
0.4,120.0,1.612452,
0.4,125.0,1.548653,
0.4,130.0,1.633749,
0.4,135.0,1.604905,
0.4,140.0,1.764656,
0.4,145.0,1.777193,
0.4,150.0,1.773678,
0.4,155.0,1.760816,
0.4,160.0,1.821549,
0.4,165.0,1.858958,
0.4,170.0,1.864991,
0.4,175.0,,blowup
