step,epsilon,sigma,timestep_fs,thermostat_tau_ps,cutoff_nm,stable,violations,loss,best_so_far
1,3.964223,0.585738,35.028097,3.404282,1.336495,True,,0.46778517593491803,0.46778517593491803
2,2.921909,0.465458,6.984954,1.16336,1.234366,True,,0.26076098839634676,0.26076098839634676
3,5.060844,0.505595,18.747468,3.360707,1.136177,True,,0.502473108828611,0.26076098839634676
4,3.36804,0.5762,23.216712,2.74763,1.404443,True,,0.407671657825897,0.26076098839634676
5,1.931662,0.562122,12.579262,0.627351,1.126899,True,,0.7526135228465374,0.26076098839634676
6,1.748374,0.448911,18.527114,3.620134,1.214965,True,,0.42001329746373917,0.26076098839634676
7,4.065317,0.598517,8.474812,3.882255,1.357198,True,,0.47425823287790253,0.26076098839634676
8,1.854548,0.478793,31.274015,2.47054,1.127533,True,,0.48030717569349834,0.26076098839634676
9,3.348867,0.480881,8.96134,1.217532,1.597274,True,,0.261373726475032,0.26076098839634676
10,6.0,0.590117,36.458393,1.148253,1.153911,False,blowup,,0.26076098839634676
11,5.492611,0.445489,5.0,1.468005,0.978416,True,,0.653162221751775,0.26076098839634676
12,2.779862,0.458363,6.230878,1.234462,1.266237,True,,0.2814758745587765,0.26076098839634676
13,3.179294,0.4,35.164035,1.176332,1.6,False,blowup|min_image,,0.26076098839634676
14,3.122073,0.604976,11.468795,1.158589,1.185074,True,,0.5266953721558364,0.26076098839634676
15,3.367325,0.445561,10.704392,1.188866,1.25712,True,,0.27616808434380175,0.26076098839634676
16,3.287629,0.43651,5.0,2.202956,1.342266,True,,0.3724735095296544,0.26076098839634676
17,3.265586,0.45008,5.0,1.105805,1.373946,True,,0.3234726461934319,0.26076098839634676
18,3.852686,0.489612,5.535131,1.194525,1.581395,True,,0.4061626707719715,0.26076098839634676
19,3.114912,0.47113,8.865413,1.21198,1.389667,True,,0.23099560320230814,0.23099560320230814
20,3.04526,0.467831,10.220489,1.356649,1.436478,True,,0.21154843937025028,0.21154843937025028
21,2.999081,0.469571,11.94066,1.653256,1.429327,True,,0.2055083833813949,0.2055083833813949
22,1.342801,0.62,40.0,3.859398,1.58832,True,,1.106881674737672,0.2055083833813949
23,3.146964,0.46552,12.835094,4.0,1.6,True,,0.19020593705755898,0.19020593705755898
24,3.215762,0.441121,13.82935,4.0,1.24159,True,,0.24802630088136246,0.19020593705755898
25,2.851743,0.489585,5.0,4.0,1.6,True,,0.3809009731661945,0.19020593705755898
26,3.199151,0.47576,14.813313,3.984283,1.6,True,,0.20952172953947487,0.19020593705755898
27,3.092294,0.483709,12.591627,3.965243,1.6,True,,0.24312146836930865,0.19020593705755898
28,3.190533,0.452852,13.270099,4.0,1.6,True,,0.21294989079618468,0.19020593705755898
29,3.37457,0.466562,11.491696,4.0,0.9,True,,0.20758082704503208,0.19020593705755898
30,6.0,0.4,40.0,4.0,0.958172,False,blowup,,0.19020593705755898
31,3.088412,0.465438,13.430764,3.770953,0.9,True,,0.19380936491655365,0.19020593705755898
32,3.323366,0.4672,15.957437,1.774943,0.9,True,,0.17834255854638992,0.17834255854638992
33,3.369176,0.473703,19.148306,2.149753,0.9,True,,0.18611872787195216,0.17834255854638992
34,3.254283,0.471564,18.884243,1.752721,0.9,True,,0.173704588790934,0.173704588790934
35,3.252202,0.462184,20.250642,1.893296,0.9,True,,0.16602830893039838,0.16602830893039838
