epsilon,timestep_fs,loss,violations
1.0,5.0,0.779312,
1.0,5.1598,0.775387,
1.0,5.3196,0.77164,
1.0,5.4795,0.768058,
1.0,5.6393,0.76463,
1.0,5.7991,0.761345,
1.0,5.9589,0.758193,
1.0,6.1187,0.755165,
1.0,6.2785,0.752254,
1.0,6.4384,0.749452,
1.0,6.5982,0.746753,
1.0,6.758,0.744151,
1.0,6.9178,0.741639,
1.0,7.0776,0.739214,
1.0,7.2374,0.736869,
1.0,7.3973,0.734601,
1.0,7.5571,0.732406,
1.0,7.7169,0.73028,
1.0,7.8767,0.728219,
1.0,8.0365,0.72622,
1.0,8.1963,0.72428,
1.0,8.3562,0.722397,
1.0,8.516,0.720567,
1.0,8.6758,0.718788,
1.0,8.8356,0.717059,
1.0,8.9954,0.715376,
1.0,9.1553,0.713737,
1.0,9.3151,0.712142,
1.0,9.4749,0.710588,
1.0,9.6347,0.709073,
1.0,9.7945,0.707595,
1.0,9.9543,0.706154,
1.0,10.1142,0.704748,
1.0,10.274,0.703375,
1.0,10.4338,0.702035,
1.0,10.5936,0.700726,
1.0,10.7534,0.699446,
1.0,10.9132,0.698196,
1.0,11.0731,0.696973,
1.0,11.2329,0.695777,
1.0,11.3927,0.694607,
1.0,11.5525,0.693463,
1.0,11.7123,0.692342,
1.0,11.8721,0.691245,
1.0,12.032,0.690171,
1.0,12.1918,0.689118,
1.0,12.3516,0.688087,
1.0,12.5114,0.687077,
1.0,12.6712,0.686087,
1.0,12.8311,0.685116,
1.0,12.9909,0.684164,
1.0,13.1507,0.683231,
1.0,13.3105,0.682315,
1.0,13.4703,0.681417,
1.0,13.6301,0.680535,
1.0,13.79,0.67967,
1.0,13.9498,0.678821,
1.0,14.1096,0.677988,
1.0,14.2694,0.67717,
1.0,14.4292,0.676366,
1.0,14.589,0.675577,
1.0,14.7489,0.674802,
1.0,14.9087,0.674041,
1.0,15.0685,0.673293,
1.0,15.2283,0.672558,
1.0,15.3881,0.671836,
1.0,15.5479,0.671126,
1.0,15.7078,0.670429,
1.0,15.8676,0.669744,
1.0,16.0274,0.66907,
1.0,16.1872,0.668408,
1.0,16.347,0.667757,
1.0,16.5068,0.667117,
1.0,16.6667,0.666488,
1.0,16.8265,0.665869,
1.0,16.9863,0.665261,
1.0,17.1461,0.664662,
1.0,17.3059,0.664074,
1.0,17.4658,0.663496,
1.0,17.6256,0.662927,
1.0,17.7854,0.662368,
1.0,17.9452,0.661818,
1.0,18.105,0.661277,
1.0,18.2648,0.660745,
1.0,18.4247,0.660222,
1.0,18.5845,0.659707,
1.0,18.7443,0.659201,
1.0,18.9041,0.658704,
1.0,19.0639,0.658215,
1.0,19.2237,0.657734,
1.0,19.3836,0.657261,
1.0,19.5434,0.656796,
1.0,19.7032,0.656339,
1.0,19.863,0.655889,
1.0,20.0228,0.655447,
1.0,20.1826,0.655013,
1.0,20.3425,0.654586,
1.0,20.5023,0.654167,
1.0,20.6621,0.653754,
1.0,20.8219,0.653349,
1.0,20.9817,0.652951,
1.0,21.1416,0.65256,
1.0,21.3014,0.652176,
1.0,21.4612,0.651799,
1.0,21.621,0.651429,
1.0,21.7808,0.651065,
1.0,21.9406,0.650708,
1.0,22.1005,0.650358,
1.0,22.2603,0.650014,
1.0,22.4201,0.649677,
1.0,22.5799,0.649346,
1.0,22.7397,0.649022,
1.0,22.8995,0.648704,
1.0,23.0594,0.648392,
1.0,23.2192,0.648086,
1.0,23.379,0.647787,
1.0,23.5388,0.647493,
1.0,23.6986,0.647206,
1.0,23.8584,0.646925,
1.0,24.0183,0.64665,
1.0,24.1781,0.646381,
1.0,24.3379,0.646118,
1.0,24.4977,0.645861,
1.0,24.6575,0.64561,
1.0,24.8174,0.645365,
1.0,24.9772,0.645125,
1.0,25.137,0.644892,
1.0,25.2968,0.644664,
1.0,25.4566,0.644442,
1.0,25.6164,0.644225,
1.0,25.7763,0.644015,
1.0,25.9361,0.64381,
1.0,26.0959,0.643611,
1.0,26.2557,0.643417,
1.0,26.4155,0.64323,
1.0,26.5753,0.643048,
1.0,26.7352,0.642871,
1.0,26.895,0.6427,
1.0,27.0548,0.642535,
1.0,27.2146,0.642375,
1.0,27.3744,0.642221,
1.0,27.5342,0.642073,
1.0,27.6941,0.64193,
1.0,27.8539,0.641793,
1.0,28.0137,0.641661,
1.0,28.1735,0.641535,
1.0,28.3333,0.641415,
1.0,28.4932,0.6413,
1.0,28.653,0.641191,
1.0,28.8128,0.641087,
1.0,28.9726,0.640989,
1.0,29.1324,0.640896,
1.0,29.2922,0.640809,
1.0,29.4521,0.640727,
1.0,29.6119,0.640652,
1.0,29.7717,0.640581,
1.0,29.9315,0.640517,
1.0,30.0913,0.640458,
1.0,30.2511,0.640404,
1.0,30.411,0.640356,
1.0,30.5708,0.640314,
1.0,30.7306,0.640277,
1.0,30.8904,0.640246,
1.0,31.0502,0.640221,
1.0,31.21,0.640202,
1.0,31.3699,0.640188,
1.0,31.5297,0.640179,
1.0,31.6895,0.640177,
1.0,31.8493,0.64018,
1.0,32.0091,0.640189,
1.0,32.1689,0.640204,
1.0,32.3288,0.640224,
1.0,32.4886,0.64025,
1.0,32.6484,0.640283,
1.0,32.8082,0.64032,
1.0,32.968,0.640364,
1.0,33.1279,0.640414,
1.0,33.2877,0.640469,
1.0,33.4475,0.64053,
1.0,33.6073,0.640598,
1.0,33.7671,0.640671,
1.0,33.9269,0.64075,
1.0,34.0868,0.640835,
1.0,34.2466,0.640926,
1.0,34.4064,0.641024,
