step,epsilon,sigma,timestep_fs,thermostat_tau_ps,cutoff_nm,stable,violations,loss,best_so_far
1,4.0,0.47,20.0,1.0,1.2,True,,0.3192060149182568,0.3192060149182568
2,4.5,0.44,20.0,1.0,1.2,True,,0.47346555621640407,0.3192060149182568
3,3.5,0.5,20.0,1.0,1.2,True,,0.24431383717207264,0.24431383717207264
4,3.0,0.53,20.0,1.0,1.2,True,,0.3476215042989845,0.24431383717207264
5,3.35,0.512,20.0,1.0,1.2,True,,0.2724552093852432,0.24431383717207264
6,3.8,0.515,20.0,1.0,1.2,True,,0.29966472063241156,0.24431383717207264
7,3.5,0.5,20.0,1.0,1.4,True,,0.25164953756821246,0.24431383717207264
8,3.6,0.49,20.0,1.0,1.2,True,,0.2577926374835465,0.24431383717207264
9,3.5,0.5,12.0,1.0,1.2,True,,0.2659135777046958,0.24431383717207264
10,3.5,0.476,20.0,1.0,1.2,True,,0.2337156350739262,0.2337156350739262
11,3.3,0.46,20.0,1.0,1.2,True,,0.18965830999580613,0.18965830999580613
12,3.1,0.446,20.0,1.0,1.2,True,,0.19717824931127811,0.18965830999580613
13,3.15,0.462,20.0,1.0,1.2,True,,0.1600139362127888,0.1600139362127888
14,3.12,0.47,20.0,1.0,1.2,True,,0.17619852759433963,0.1600139362127888
15,3.2,0.465,20.0,1.0,1.2,True,,0.1713655555378145,0.1600139362127888
16,3.16,0.458,20.0,1.0,1.2,True,,0.16818562195659198,0.1600139362127888
17,3.14,0.464,20.0,1.0,1.2,True,,0.15989139167339161,0.15989139167339161
18,3.14,0.464,20.0,0.5,1.2,True,,0.16037139167339162,0.15989139167339161
19,3.14,0.464,25.0,1.0,1.2,True,,0.17357287235810598,0.15989139167339161
20,3.14,0.464,20.0,0.7,1.1,True,,0.15580529620287978,0.15580529620287978
21,3.16,0.464,20.0,0.7,1.05,True,,0.1562292893847949,0.15580529620287978
22,3.15,0.462,18.0,0.7,1.1,True,,0.1561854870119152,0.15580529620287978
23,3.12,0.466,20.0,0.7,1.1,True,,0.1613669947523564,0.15580529620287978
24,3.15,0.4635,19.0,0.7,1.0,True,,0.1549531201239348,0.1549531201239348
25,3.155,0.463,19.0,0.6,0.95,True,,0.15880999160483544,0.1549531201239348
26,3.15,0.464,19.0,0.75,1.03,True,,0.15325717839717984,0.15325717839717984
27,3.15,0.4645,19.0,0.8,1.05,True,,0.15429542332040597,0.15325717839717984
28,3.148,0.4642,18.5,0.75,1.03,True,,0.15356808538961123,0.15325717839717984
29,3.15,0.464,19.0,0.75,1.01,True,,0.1546139841682633,0.15325717839717984
30,3.152,0.4638,19.0,0.78,1.04,True,,0.15368640529460298,0.15325717839717984
31,3.15,0.464,18.5,0.76,1.035,True,,0.15329650771525902,0.15325717839717984
32,3.147,0.4643,18.0,0.75,1.045,True,,0.15391543230130741,0.15325717839717984
33,3.15,0.464,18.7,0.76,1.03,True,,0.15333531492795488,0.15325717839717984
34,3.15,0.464,18.6,0.76,1.032,True,,0.15324930862779473,0.15324930862779473
35,3.15,0.464,18.6,0.76,1.02,True,,0.15404435147642065,0.15324930862779473
