phase,variable,label,agent,n_steps,n_initial_random,acq_func,unstable_penalty,free_rejection,median_best_loss,p_seeds_reach_threshold,p_unstable,median_cost_to_loss_threshold,median_steps_to_loss_threshold,p_blowup_violations,p_thermostat_violations,p_min_image_violations
1_penalty,unstable_penalty,unstable_penalty=0.4,gp,35,10,gp_hedge,0.4,False,0.1848,0.35,0.3629,1274.85,25.0,0.2586,0.1157,0.0914
1_penalty,unstable_penalty,unstable_penalty=0.5,gp,35,10,gp_hedge,0.5,False,0.1792,0.5,0.2729,1661.965,25.0,0.17,0.1057,0.06
1_penalty,unstable_penalty,unstable_penalty=0.7,gp,35,10,gp_hedge,0.7,False,0.1787,0.5,0.1943,1527.895,22.5,0.1243,0.0614,0.0314
1_penalty,unstable_penalty,unstable_penalty=1.0,gp,35,10,gp_hedge,1.0,False,0.1874,0.4,0.1814,1015.32,25.0,0.1086,0.0686,0.0286
1_penalty,unstable_penalty,unstable_penalty=1.3,gp,35,10,gp_hedge,1.3,False,0.1996,0.15,0.1757,655.59,17.0,0.0986,0.0643,0.0371
1_penalty,unstable_penalty,unstable_penalty=2.0,gp,35,10,gp_hedge,2.0,False,0.2067,0.2,0.1871,1514.98,29.0,0.1057,0.0671,0.03
1_penalty,unstable_penalty,unstable_penalty=5.0,gp,35,10,gp_hedge,5.0,False,0.234,0.2,0.1771,1272.515,24.0,0.0971,0.0614,0.0314
1_penalty,unstable_penalty,unstable_penalty=10.0,gp,35,10,gp_hedge,10.0,False,0.2356,0.1,0.1743,783.225,15.0,0.0943,0.0629,0.0357
2_acq,acq_func,acq_func=gp_hedge,gp,35,10,gp_hedge,0.7,False,0.1787,0.5,0.1943,1527.895,22.5,0.1243,0.0614,0.0314
2_acq,acq_func,acq_func=EI,gp,35,10,EI,0.7,False,0.1923,0.4,0.23,1201.71,26.5,0.1386,0.0786,0.0429
2_acq,acq_func,acq_func=PI,gp,35,10,PI,0.7,False,0.1829,0.45,0.1871,1727.73,25.0,0.1229,0.0686,0.0171
2_acq,acq_func,acq_func=LCB,gp,35,10,LCB,0.7,False,0.1988,0.35,0.2529,1610.61,26.0,0.16,0.0957,0.0443
3_warmup,n_initial_random,n_initial_random=5,gp,35,5,gp_hedge,0.7,False,0.1817,0.5,0.2257,1668.935,26.5,0.1157,0.0986,0.0443
3_warmup,n_initial_random,n_initial_random=10,gp,35,10,gp_hedge,0.7,False,0.1787,0.5,0.1943,1527.895,22.5,0.1243,0.0614,0.0314
3_warmup,n_initial_random,n_initial_random=15,gp,35,15,gp_hedge,0.7,False,0.1801,0.5,0.2114,1369.56,24.5,0.1329,0.07,0.0329
3_warmup,n_initial_random,n_initial_random=20,gp,35,20,gp_hedge,0.7,False,0.1923,0.35,0.2143,1667.77,30.0,0.1429,0.06,0.0286
4_free_rejection,free_rejection,free_rejection=False,gp,35,10,gp_hedge,0.7,False,0.1787,0.5,0.1943,1527.895,22.5,0.1243,0.0614,0.0314
4_free_rejection,free_rejection,free_rejection=True,gp,35,10,gp_hedge,0.7,True,0.1808,0.5,0.1329,1954.315,26.0,0.1029,0.0,0.0329
5_steps,n_steps,n_steps=15,gp,15,10,gp_hedge,0.7,True,0.2541,0.1,0.1533,607.865,10.0,0.1367,0.0,0.0233
5_steps,n_steps,n_steps=25,gp,25,10,gp_hedge,0.7,True,0.1976,0.25,0.14,673.33,19.0,0.116,0.0,0.028
5_steps,n_steps,n_steps=35,gp,35,10,gp_hedge,0.7,True,0.1808,0.5,0.1329,1954.315,26.0,0.1029,0.0,0.0329
5_steps,n_steps,n_steps=50,gp,50,10,gp_hedge,0.7,True,0.172,0.7,0.12,2187.68,31.5,0.088,0.0,0.037
5_steps,n_steps,n_steps=70,gp,70,10,gp_hedge,0.7,True,0.1657,0.8,0.1136,2258.96,32.5,0.0814,0.0,0.0386
6_final,agent,agent=random,random,35,10,gp_hedge,0.7,True,0.2351,0.05,0.1871,1812.77,31.0,0.1729,0.0,0.0214
6_final,agent,agent=gp_untuned,gp,35,10,gp_hedge,10.0,False,0.2356,0.1,0.1743,783.225,15.0,0.0943,0.0629,0.0357
6_final,agent,agent=gp_tuned_50,gp,50,10,gp_hedge,0.7,True,0.172,0.7,0.12,2187.68,31.5,0.088,0.0,0.037
6_warm_start,warm_start,warm_start=random,gp,35,10,gp_hedge,0.7,True,0.1808,0.5,0.1329,1954.315,26.0,0.1029,0.0,0.0329
6_warm_start,warm_start,warm_start=llm,gp,35,10,gp_hedge,0.7,True,0.1636,0.65,0.1086,1155.79,20.0,0.0886,0.0,0.0214
