warm_start,n_initial_random,median_best_loss,p_seeds_reach_threshold,p_unstable,median_cost_to_loss_threshold,median_steps_to_loss_threshold,p_blowup_violations,p_thermostat_violations,p_min_image_violations
random,1,0.1786,0.5,0.1529,1180.175,21.0,0.1086,0.0,0.0657
random,2,0.1777,0.55,0.1414,1708.45,24.0,0.1086,0.0,0.0486
random,3,0.1745,0.6,0.1571,1386.9,23.5,0.12,0.0,0.0429
random,5,0.1744,0.6,0.1257,1702.665,25.0,0.0971,0.0,0.0343
random,10,0.1808,0.5,0.1329,1954.315,26.0,0.1029,0.0,0.0329
llm,1,0.1739,0.65,0.1529,1358.93,23.0,0.1214,0.0,0.0429
llm,2,0.1658,0.75,0.1157,1089.9,19.0,0.0929,0.0,0.0286
llm,3,0.1725,0.7,0.1129,1511.215,20.0,0.0886,0.0,0.0329
llm,5,0.1744,0.6,0.1114,1285.64,19.0,0.0829,0.0,0.0371
llm,10,0.1636,0.65,0.1086,1155.79,20.0,0.0886,0.0,0.0214
